"player_name","player_height","gp","pts","reb","ast","net_rating","season"
"Kevin Porter Jr.",193.04,50,10,3.2,2.2,-11.2,"2019-20"
"Kevin Love",203.2,56,17.6,9.8,3.2,-8,"2019-20"
"Kevin Knox II",200.66,65,6.4,2.8,0.9,-7.3,"2019-20"
"Kevin Huerter",200.66,56,12.2,4.1,3.8,-6.1,"2019-20"
"Kevin Hervey",205.74,10,1.7,1.2,0.5,-28.9,"2019-20"
"Kentavious Caldwell-Pope",195.58,69,9.3,2.1,1.6,3.5,"2019-20"
"Kent Bazemore",193.04,68,8.8,4.3,1.4,0.8,"2019-20"
"Kevon Looney",205.74,20,3.4,3.3,1,-18.3,"2019-20"
"Kenrich Williams",198.12,39,3.5,4.8,1.5,-1,"2019-20"
"Kemba Walker",182.88,56,20.4,3.9,4.8,7.1,"2019-20"
"Kelly Oubre Jr.",200.66,56,18.7,6.4,1.5,0.2,"2019-20"
"Kelly Olynyk",210.82,67,8.2,4.6,1.7,1.5,"2019-20"
"Keldon Johnson",195.58,17,9.1,3.4,0.9,11.3,"2019-20"
"Kelan Martin",195.58,31,6.4,3.1,0.7,-1.7,"2019-20"
"Keita Bates-Diop",203.2,44,6.5,2.9,0.7,-10.6,"2019-20"
"Kawhi Leonard",200.66,57,27.1,7.1,4.9,12.2,"2019-20"
"Kendrick Nunn",187.96,67,15.3,2.7,3.3,1.2,"2019-20"
"Khem Birch",205.74,48,4.4,4.6,1,-7.1,"2019-20"
"Khris Middleton",200.66,62,20.9,6.2,4.3,12.4,"2019-20"
"Khyri Thomas",190.5,8,2.1,0.1,0.4,-28.7,"2019-20"
"Larry Nance Jr.",200.66,56,10.1,7.3,2.2,-5.1,"2019-20"
"Frank Kaminsky",213.36,39,9.7,4.5,1.9,-1,"2019-20"
"Langston Galloway",185.42,66,10.3,2.3,1.5,-4.4,"2019-20"
"Landry Shamet",193.04,53,9.3,1.9,1.9,4.3,"2019-20"
"Lance Thomas",203.2,7,3.4,1.9,0.9,-24.2,"2019-20"
"LaMarcus Aldridge",210.82,53,18.9,7.4,2.4,-3.2,"2019-20"
"Kyrie Irving",187.96,20,27.4,5.2,6.4,-0.4,"2019-20"
"Kyle O'Quinn",205.74,29,3.5,4,1.8,-4.9,"2019-20"
"Kyle Lowry",182.88,58,19.4,5,7.5,6,"2019-20"
"Kyle Kuzma",203.2,61,12.8,4.5,1.3,4.9,"2019-20"
"Kyle Korver",200.66,58,6.7,2.1,1.2,5.4,"2019-20"
"Kyle Guy",185.42,3,1.3,0.3,0.3,-45.8,"2019-20"
"Kyle Anderson",205.74,67,5.8,4.3,2.4,-3,"2019-20"
"Kyle Alexander",208.28,2,1,1.5,0,-6.7,"2019-20"
"Ky Bowman",185.42,45,7.4,2.7,2.9,-8.4,"2019-20"
"Kristaps Porzingis",220.98,57,20.4,9.5,1.8,6.9,"2019-20"
"Kris Dunn",190.5,51,7.3,3.6,3.4,-0.1,"2019-20"
"Karl-Anthony Towns",210.82,35,26.5,10.8,4.4,-1.5,"2019-20"
"Kadeem Allen",185.42,10,5,0.9,2.1,-10.1,"2019-20"
"KZ Okpala",203.2,5,1.4,1,0.2,-31.7,"2019-20"
"Juwan Morgan",200.66,21,1.7,1.4,0.3,12,"2019-20"
"Jordan McRae",195.58,37,11.5,3.4,2.5,-4.1,"2019-20"
"Jordan McLaughlin",180.34,30,7.6,1.6,4.2,-5.8,"2019-20"
"Jordan Clarkson",193.04,71,15.2,2.6,1.9,-0.5,"2019-20"
"Jordan Bone",190.5,10,1.2,0.4,0.8,-2.9,"2019-20"
"Jordan Bell",203.2,29,3.2,2.8,0.6,-1.6,"2019-20"
"Jonathan Isaac",210.82,34,11.9,6.8,1.4,0.7,"2019-20"
"Jonas Valanciunas",210.82,70,14.9,11.3,1.9,0.3,"2019-20"
"Jonah Bolden",203.2,7,1.4,1.3,0,-3.2,"2019-20"
"Johnathan Williams",205.74,15,3,4.3,0.5,-11.6,"2019-20"
"Johnathan Motley",203.2,13,2.2,0.8,0.6,5.7,"2019-20"
"John Konchar",195.58,19,2.8,2.5,1.2,4.9,"2019-20"
"John Henson",205.74,40,5.5,4.1,1.4,-0.7,"2019-20"
"John Collins",205.74,41,21.6,10.1,1.5,-5.1,"2019-20"
"Joel Embiid",213.36,51,23,11.6,3,5.2,"2019-20"
"Joe Ingles",200.66,72,9.8,3.9,5.2,5.1,"2019-20"
"Joe Harris",198.12,69,14.5,4.3,2.1,0.9,"2019-20"
"Joe Chealey",193.04,4,0.5,0,0.3,-23.4,"2019-20"
"Jordan Poole",193.04,57,8.8,2.1,2.4,-8.2,"2019-20"
"Jimmy Butler",200.66,58,19.9,6.7,6,5.2,"2019-20"
"Josh Gray",182.88,2,1,1,1,-14.9,"2019-20"
"Josh Jackson",203.2,22,9,3,1.6,2.5,"2019-20"
"Jusuf Nurkic",213.36,8,17.6,10.3,4,-0.5,"2019-20"
"Justise Winslow",198.12,11,11.3,6.6,4,6.4,"2019-20"
"Justin Wright-Foreman",182.88,4,4.8,1.3,1.8,-32.5,"2019-20"
"Justin Robinson",185.42,9,1.4,0.6,0.8,29.9,"2019-20"
"Justin Patton",210.82,5,1.8,1,0.4,-32,"2019-20"
"Justin James",200.66,36,2.5,0.9,0.5,-2.4,"2019-20"
"Justin Jackson",200.66,65,5.5,2.4,0.8,0.5,"2019-20"
"Justin Holiday",198.12,73,8.3,3.3,1.3,1.3,"2019-20"
"Justin Anderson",195.58,10,2.8,2.1,0.8,-0.1,"2019-20"
"Julius Randle",203.2,64,19.5,9.7,3.1,-5.9,"2019-20"
"Juancho Hernangomez",205.74,48,6,4.1,0.8,-2.3,"2019-20"
"Juan Toscano-Anderson",198.12,13,5.3,4,2,-12,"2019-20"
"Jrue Holiday",190.5,61,19.1,4.8,6.7,0.5,"2019-20"
"Josh Richardson",195.58,55,13.7,3.2,2.9,3.3,"2019-20"
"Josh Reaves",193.04,4,2,0.8,0.8,15.5,"2019-20"
"Josh Okogie",193.04,62,8.6,4.3,1.6,-4.7,"2019-20"
"Josh Magette",185.42,8,1.5,0.8,0.6,2.4,"2019-20"
"Josh Hart",195.58,65,10.1,6.5,1.7,-3.1,"2019-20"
"Frank Jackson",190.5,59,6.3,1.4,1,-3.4,"2019-20"
"Bam Adebayo",205.74,72,15.9,10.2,5.1,5,"2019-20"
"Evan Fournier",200.66,66,18.5,2.6,3.2,-1.8,"2019-20"
"Caleb Martin",195.58,18,6.2,2.1,1.3,0.8,"2019-20"
"CJ Miles",198.12,10,6.4,1.2,1.2,-1.3,"2019-20"
"CJ McCollum",190.5,70,22.2,4.2,4.4,0.5,"2019-20"
"Buddy Hield",193.04,72,19.2,4.6,3,-3.1,"2019-20"
"Bryn Forbes",187.96,63,11.2,2,1.7,-6.8,"2019-20"
"Bruno Fernando",205.74,56,4.3,3.5,0.9,-5.6,"2019-20"
"Bruno Caboclo",205.74,30,3,2,0.4,-5.1,"2019-20"
"Caleb Swanigan",205.74,27,2.4,3.7,1.1,-6.5,"2019-20"
"Bruce Brown",193.04,58,8.9,4.7,4,-4.3,"2019-20"
"Brian Bowen II",198.12,6,1,1.2,0,15.7,"2019-20"
"Brandon Knight",187.96,25,7.3,1.6,2.8,-7.6,"2019-20"
"Brandon Ingram",200.66,62,23.8,6.1,4.2,-1.3,"2019-20"
"Brandon Goodwin",182.88,34,6.1,2.1,1.5,-13.8,"2019-20"
"Brandon Clarke",203.2,58,12.1,5.9,1.4,-0.1,"2019-20"
"Bradley Beal",190.5,57,30.5,4.2,6.1,-4.5,"2019-20"
"Brad Wanamaker",190.5,71,6.9,2,2.5,5,"2019-20"
"Brook Lopez",213.36,68,12,4.6,1.5,12,"2019-20"
"Cam Reddish",203.2,58,10.5,3.7,1.5,-6.3,"2019-20"
"Cameron Johnson",203.2,57,8.8,3.3,1.2,1,"2019-20"
"Cameron Payne",185.42,8,10.9,3.9,3,23.1,"2019-20"
"Clint Capela",208.28,39,13.9,13.8,1.2,2.5,"2019-20"
"Christian Wood",208.28,62,13.1,6.3,1,2,"2019-20"
"Chris Silva",203.2,44,3,2.9,0.5,-6,"2019-20"
"Chris Paul",185.42,70,17.6,5,6.7,6.9,"2019-20"
"Chris Clemons",175.26,33,4.9,0.9,0.8,-8.8,"2019-20"
"Chris Chiozza",180.34,28,5.1,1.9,3,9.3,"2019-20"
"Chris Boucher",205.74,62,6.6,4.5,0.4,5.7,"2019-20"
"Chimezie Metu",205.74,18,3.2,1.8,0.6,-6.7,"2019-20"
"Cheick Diallo",203.2,47,4.7,2.8,0.5,-3.8,"2019-20"
"Chasson Randle",187.96,3,1.7,0.7,1.7,-2,"2019-20"
"Charlie Brown Jr.",198.12,10,2,0.4,0.2,33.9,"2019-20"
"Chandler Parsons",205.74,5,2.8,1.4,0.6,-29,"2019-20"
"Chandler Hutchison",200.66,28,7.8,3.9,0.9,-11.9,"2019-20"
"Cedi Osman",200.66,65,11,3.6,2.4,-9,"2019-20"
"Carsen Edwards",180.34,37,3.3,1.3,0.6,-5.5,"2019-20"
"Carmelo Anthony",203.2,58,15.4,6.3,1.5,0.6,"2019-20"
"Caris LeVert",198.12,45,18.7,4.2,4.4,0.2,"2019-20"
"Bol Bol",218.44,7,5.7,2.7,0.9,-9.8,"2019-20"
"Coby White",193.04,65,13.2,3.5,2.7,-4.4,"2019-20"
"Bojan Bogdanovic",203.2,63,20.2,4.1,2.1,5.5,"2019-20"
"Bobby Portis",208.28,66,10.1,5.1,1.5,-7.9,"2019-20"
"Allonzo Trier",193.04,24,6.5,1.2,1.2,-11.1,"2019-20"
"Allen Crabbe",195.58,37,4.6,2.1,0.9,-15,"2019-20"
"Alize Johnson",200.66,17,2,2.8,0.4,8.9,"2019-20"
"Alfonzo McKinnie",200.66,40,4.6,2.8,0.4,-7.4,"2019-20"
"Alex Len",213.36,55,8,5.8,0.9,-5.4,"2019-20"
"Alex Caruso",195.58,64,5.5,1.9,1.9,9.8,"2019-20"
"Alen Smailagic",208.28,14,4.2,1.9,0.9,-3,"2019-20"
"Amile Jefferson",205.74,18,0.8,1.3,0.2,8.5,"2019-20"
"Alec Burks",198.12,66,15,4.3,2.9,-6.3,"2019-20"
"Al Horford",205.74,67,11.9,6.8,4,3.3,"2019-20"
"Admiral Schofield",195.58,33,3,1.4,0.5,-7.1,"2019-20"
"Adam Mokoka",195.58,11,2.9,0.9,0.4,17.1,"2019-20"
"Abdel Nader",195.58,55,6.3,1.8,0.7,-4.2,"2019-20"
"Aaron Holiday",182.88,66,9.5,2.4,3.4,2.2,"2019-20"
"Aaron Gordon",203.2,62,14.4,7.7,3.7,-1.2,"2019-20"
"Lauri Markkanen",213.36,50,14.7,6.3,1.5,-2,"2019-20"
"Al-Farouq Aminu",203.2,18,4.3,4.8,1.2,-5.4,"2019-20"
"Amir Coffey",200.66,18,3.2,0.9,0.8,-0.5,"2019-20"
"Andre Drummond",208.28,57,17.7,15.2,2.7,-5,"2019-20"
"Andre Iguodala",198.12,21,4.6,3.7,2.4,-1.9,"2019-20"
"Boban Marjanovic",223.52,44,6.6,4.5,0.5,5.5,"2019-20"
"Blake Griffin",205.74,18,15.5,4.7,3.3,-2.6,"2019-20"
"Bismack Biyombo",203.2,53,7.4,5.8,0.9,-6.6,"2019-20"
"Ben Simmons",208.28,57,16.4,7.8,8,1.7,"2019-20"
"Ben McLemore",190.5,71,10.1,2.2,0.8,5,"2019-20"
"BJ Johnson",200.66,10,3,1.5,0.3,-8.1,"2019-20"
"Avery Bradley",190.5,49,8.6,2.3,1.3,7.4,"2019-20"
"Austin Rivers",190.5,68,8.8,2.6,1.7,2.6,"2019-20"
"Aron Baynes",208.28,42,11.5,5.6,1.6,-1.5,"2019-20"
"Anzejs Pasecniks",218.44,27,5.8,4,0.7,0.2,"2019-20"
"Antonius Cleveland",195.58,11,1,0.6,0.1,-7.8,"2019-20"
"Anthony Tolliver",203.2,55,3.6,2.8,0.8,-6,"2019-20"
"Anthony Davis",208.28,62,26.1,9.3,3.2,5,"2019-20"
"Ante Zizic",208.28,22,4.4,3,0.3,1.3,"2019-20"
"Anfernee Simons",190.5,70,8.3,2.2,1.4,-7.6,"2019-20"
"Andrew Wiggins",200.66,54,21.8,5.1,3.7,-5.1,"2019-20"
"Andre Roberson",200.66,7,2.9,3.9,0.6,-1.1,"2019-20"
"Bogdan Bogdanovic",198.12,61,15.1,3.4,3.4,-1.7,"2019-20"
"Cody Martin",195.58,48,5,3.3,2,-3.2,"2019-20"
"Cody Zeller",213.36,58,11.1,7.1,1.5,-8.3,"2019-20"
"Collin Sexton",185.42,65,20.8,3.1,3,-9.2,"2019-20"
"Doug McDermott",200.66,69,10.3,2.5,1.1,3.2,"2019-20"
"Dorian Finney-Smith",200.66,71,9.5,5.7,1.6,6.5,"2019-20"
"Donte DiVincenzo",193.04,66,9.2,4.8,2.3,12.2,"2019-20"
"Donta Hall",205.74,9,4.3,4.2,0.4,-12,"2019-20"
"Donovan Mitchell",185.42,69,24,4.4,4.3,2.6,"2019-20"
"Domantas Sabonis",210.82,62,18.5,12.4,5,3.1,"2019-20"
"Dion Waiters",190.5,10,11.1,2.4,2,7.8,"2019-20"
"Dragan Bender",213.36,16,6.7,4.6,1.8,1.1,"2019-20"
"Dillon Brooks",200.66,73,16.2,3.3,2.1,-0.3,"2019-20"
"Dewan Hernandez",208.28,6,2.3,2.3,0.5,17.2,"2019-20"
"Devonte' Graham",185.42,63,18.2,3.4,7.5,-4.5,"2019-20"
"Devontae Cacok",203.2,1,6,5,1,22.7,"2019-20"
"Devon Hall",195.58,11,1.8,0.6,1.2,3.8,"2019-20"
"Devin Booker",195.58,70,26.6,4.2,6.5,2.7,"2019-20"
"Derrick White",193.04,68,11.3,3.3,3.5,1,"2019-20"
"Derrick Walton Jr.",182.88,26,2,0.6,1,-0.9,"2019-20"
"Dewayne Dedmon",213.36,44,5.8,5.7,0.5,-0.7,"2019-20"
"Draymond Green",198.12,43,8,6.2,6.2,-7.2,"2019-20"
"Drew Eubanks",205.74,22,4.9,3.9,0.7,-11,"2019-20"
"Duncan Robinson",200.66,73,13.5,3.2,1.4,7.5,"2019-20"
"Ersan Ilyasova",205.74,63,6.6,4.8,0.8,4.2,"2019-20"
"Eric Paschall",198.12,60,14,4.6,2.1,-10.6,"2019-20"
"Eric Mika",208.28,1,6,7,0,19.5,"2019-20"
"Eric Gordon",190.5,36,14.4,2,1.5,0.4,"2019-20"
"Eric Bledsoe",185.42,61,14.9,4.6,5.4,11.8,"2019-20"
"Enes Kanter",208.28,58,8.1,7.4,1,9.9,"2019-20"
"Emmanuel Mudiay",190.5,54,7.3,2.3,2.1,-2,"2019-20"
"Elie Okobo",190.5,55,4,1.6,2.1,-3.2,"2019-20"
"Elfrid Payton",190.5,45,10,4.7,7.2,-3,"2019-20"
"Edmond Sumner",193.04,31,4.9,1.5,1.8,-2.6,"2019-20"
"Ed Davis",205.74,28,1.8,3.8,0.4,-15.2,"2019-20"
"E'Twaun Moore",190.5,56,8.3,2.3,1.4,-2.2,"2019-20"
"Dzanan Musa",205.74,40,4.8,2.2,1.1,-2.5,"2019-20"
"Dwight Powell",208.28,40,9.4,5.7,1.5,8.9,"2019-20"
"Dwight Howard",208.28,69,7.5,7.3,0.7,5.9,"2019-20"
"Dwayne Bacon",198.12,39,5.7,2.6,1.3,-8.2,"2019-20"
"Dusty Hannahs",190.5,2,6,0.5,0,17.2,"2019-20"
"Derrick Rose",187.96,50,18.1,2.4,5.6,-3.4,"2019-20"
"Derrick Jones Jr.",198.12,59,8.5,3.9,1.1,-0.5,"2019-20"
"Derrick Favors",205.74,51,9,9.8,1.6,4.2,"2019-20"
"Deonte Burton",193.04,39,2.7,1.5,0.4,-12.7,"2019-20"
"Dante Exum",195.58,35,4.5,1.9,1.1,-8.8,"2019-20"
"Danny Green",198.12,68,8,3.3,1.3,6.4,"2019-20"
"Danilo Gallinari",208.28,62,18.7,5.2,1.9,5.7,"2019-20"
"Daniel Theis",203.2,65,9.2,6.6,1.7,7,"2019-20"
"Daniel Gafford",208.28,43,5.1,2.5,0.5,-1.9,"2019-20"
"Damyean Dotson",195.58,48,6.7,1.9,1.2,-5.3,"2019-20"
"Damion Lee",195.58,49,12.7,4.9,2.7,-4.1,"2019-20"
