"player_name","player_height","gp","pts","reb","ast","net_rating","season"
"Patrick Patterson",205.74,81,8,5.3,1.9,5.3,"2014-15"
"Patty Mills",182.88,51,6.9,1.5,1.7,9,"2014-15"
"Pau Gasol",213.36,78,18.5,11.8,2.7,3,"2014-15"
"Paul George",205.74,6,8.8,3.7,1,7,"2014-15"
"Paul Millsap",203.2,73,16.7,7.8,3.1,7.7,"2014-15"
"Phil Pressey",180.34,50,3.5,1.6,2.3,0.7,"2014-15"
"Pero Antic",210.82,63,5.7,3,0.8,6,"2014-15"
"Perry Jones III",210.82,43,4.3,1.8,0.4,-9.4,"2014-15"
"Quincy Acy",200.66,68,5.9,4.4,1,-8,"2014-15"
"Patrick Christopher",196,4,1.5,1.5,0,-22.8,"2014-15"
"Quincy Miller",205.74,10,2.9,2,0.8,14.8,"2014-15"
"Paul Pierce",200.66,73,11.9,4,2,5,"2014-15"
"Patrick Beverley",185.42,56,10.1,4.2,3.4,2.2,"2014-15"
"O.J. Mayo",195.58,71,11.4,2.6,2.8,-0.6,"2014-15"
"PJ Tucker",198.12,78,9.1,6.4,1.6,-0.3,"2014-15"
"PJ Hairston",198.12,45,5.6,2,0.5,-8,"2014-15"
"Otto Porter Jr.",203.2,74,6,3,0.9,0.6,"2014-15"
"Omri Casspi",205.74,67,8.9,3.9,1.5,-5.8,"2014-15"
"Omer Asik",213.36,76,7.3,9.8,0.9,0.4,"2014-15"
"Ognjen Kuzmic",213.36,16,1.3,1.1,0.4,-25.8,"2014-15"
"Quincy Pondexter",200.66,75,7.2,2.6,1.3,0.1,"2014-15"
"Norris Cole",187.96,75,7.6,2.1,3.4,-3.4,"2014-15"
"Noah Vonleh",208.28,25,3.3,3.4,0.2,-13.2,"2014-15"
"Nikola Vucevic",213.36,74,19.3,10.9,2,-6,"2014-15"
"Nikola Pekovic",210.82,31,12.5,7.5,0.9,-6,"2014-15"
"Nikola Mirotic",208.28,82,10.2,4.9,1.2,6.1,"2014-15"
"Pablo Prigioni",190.5,67,4.1,1.8,2.6,-3.7,"2014-15"
"Rajon Rondo",185.42,68,8.9,5.5,7.9,-1.2,"2014-15"
"Richard Jefferson",200.66,74,5.8,2.5,0.8,3.6,"2014-15"
"Randy Foye",193.04,50,8.7,1.7,2.4,-4.7,"2014-15"
"Samuel Dalembert",210.82,32,4,5.3,0.9,-13.5,"2014-15"
"Ryan Kelly",210.82,52,6.4,2.8,1.8,-7.4,"2014-15"
"Ryan Hollins",213.36,46,3,2.2,0.3,-4.8,"2014-15"
"Ryan Anderson",208.28,61,13.7,4.8,0.9,-1.9,"2014-15"
"Russell Westbrook",190.5,67,28.1,7.3,8.6,4.1,"2014-15"
"Russ Smith",182.88,12,2.5,0.5,0.7,10.4,"2014-15"
"Rudy Gobert",215.9,82,8.4,9.5,1.3,1.2,"2014-15"
"Rudy Gay",203.2,68,21.1,5.9,3.7,-2.3,"2014-15"
"Roy Hibbert",218.44,76,10.6,7.1,1.1,-1.4,"2014-15"
"Ronny Turiaf",208.28,2,0,0.5,1,-14.3,"2014-15"
"Ronnie Price",187.96,43,5.1,1.6,3.8,-3.1,"2014-15"
"Rodney Stuckey",195.58,71,12.6,3.5,3.1,-0.7,"2014-15"
"Rodney Hood",203.2,50,8.7,2.3,1.7,3.3,"2014-15"
"Robin Lopez",213.36,59,9.6,6.7,0.9,4.7,"2014-15"
"Robert Sacre",213.36,67,4.6,3.5,0.8,-2.6,"2014-15"
"Robert Covington",205.74,70,13.5,4.5,1.5,-4.4,"2014-15"
"Robbie Hummel",205.74,45,4.4,3,0.6,-10.7,"2014-15"
"Ricky Rubio",193.04,22,10.3,5.7,8.8,-1.6,"2014-15"
"Ricky Ledo",200.66,17,5.3,2.1,1.1,-14.7,"2014-15"
"Nik Stauskas",198.12,73,4.4,1.2,0.9,-7,"2014-15"
"Reggie Williams",201,20,1.9,0.9,0.5,-15,"2014-15"
"Reggie Jackson",190.5,77,14.5,4.2,6,1.6,"2014-15"
"Reggie Evans",203.2,47,3.7,6.4,0.7,-4.4,"2014-15"
"Reggie Bullock",200.66,36,1.9,1.4,0.2,-1.5,"2014-15"
"Raymond Felton",185.42,29,3.7,0.9,1.4,-3.3,"2014-15"
"Ray McCallum",190.5,68,7.4,2.6,2.8,-8.9,"2014-15"
"Rasual Butler",200.66,75,7.7,2.6,0.8,-1.6,"2014-15"
"Ramon Sessions",190.5,64,6.3,2.3,2.8,-5.6,"2014-15"
"Nicolas Batum",203.2,71,9.4,5.9,4.8,4.2,"2014-15"
"Monta Ellis",190.5,80,18.9,2.4,4.1,4.2,"2014-15"
"Nick Johnson",190.5,28,2.6,1.4,0.4,-7.3,"2014-15"
