"player_name","player_height","gp","pts","reb","ast","net_rating","season"
"Derek Strong",205.74,44,5.1,3.7,0.4,2.4,"1998-99"
"Dirk Nowitzki",213.36,47,8.2,3.4,1,-1.5,"1998-99"
"Derrick Coleman",208.28,37,13.1,8.9,2.1,-4.1,"1998-99"
"Derrick McKey",208.28,13,4.6,3.2,1,12.8,"1998-99"
"Detlef Schrempf",208.28,50,15,7.4,3.7,2.3,"1998-99"
"Dickey Simpkins",205.74,50,9.1,6.8,1.3,-10,"1998-99"
"Dikembe Mutombo",218.44,50,10.8,12.2,1.1,6,"1998-99"
"Derek Harper",193.04,45,6.9,1.5,4.2,-2.6,"1998-99"
"Doug Overton",190.5,24,3.8,0.9,1,-5.1,"1998-99"
"Don MacLean",208.28,17,10.9,3.8,0.9,-8.6,"1998-99"
"Don Reid",203.2,47,5.1,3.6,0.7,5.5,"1998-99"
"Donyell Marshall",205.74,48,11,7.1,1.4,-1.2,"1998-99"
"Doug Christie",198.12,50,15.2,4.1,3.7,-3.3,"1998-99"
"Doug West",198.12,14,5.8,1.8,1.4,-6.7,"1998-99"
"Drew Barry",195.58,17,2.2,1.2,1.7,0.4,"1998-99"
"Duane Causwell",213.36,19,2.3,1.8,0.1,-20.5,"1998-99"
"Duane Ferrell",200.66,8,0.6,0.8,0,21.3,"1998-99"
"Earl Boykins",165.1,22,3,0.8,1.5,-10.8,"1998-99"
"Dwayne Schintzius",218.44,16,0.7,1.2,0.5,-29.2,"1998-99"
"Dominique Wilkins",203.2,27,5,2.6,0.6,-1.6,"1998-99"
"Derek Fisher",185.42,50,5.9,1.8,3.9,8.9,"1998-99"
"Darrick Martin",180.34,37,8,1.3,3.9,-11.2,"1998-99"
"Dennis Scott",203.2,36,6.5,1.6,1.1,-0.1,"1998-99"
"Cory Carr",193.04,42,4.1,1.2,1.6,-14,"1998-99"
"Cuttino Mobley",193.04,49,9.9,2.3,2.5,3.7,"1998-99"
"Ed Gray",190.5,30,4.9,0.9,0.4,-12.5,"1998-99"
"Dale Davis",210.82,50,8,8.3,0.4,6.9,"1998-99"
"Dale Ellis",200.66,48,10.3,2.4,0.8,-0.7,"1998-99"
"Damon Jones",190.5,24,5.2,1.8,1.8,-3,"1998-99"
"Damon Stoudamire",177.8,50,12.6,3.3,6.2,2,"1998-99"
"Dan Majerle",198.12,48,7,4.3,3.1,8.1,"1998-99"
"Dan Schayes",210.82,19,1.5,0.7,0.2,7.2,"1998-99"
"Dana Barros",180.34,50,9.3,2.1,4.2,0.3,"1998-99"
"Danny Ferry",208.28,50,7,2,1.1,-0.9,"1998-99"
"Danny Fortson",200.66,50,11,11.6,0.6,-7.1,"1998-99"
"Danny Manning",208.28,50,9.1,4.4,2.3,3.9,"1998-99"
"Darrell Armstrong",185.42,50,13.8,3.6,6.7,4.7,"1998-99"
"David Robinson",215.9,49,15.8,10,2.1,11.2,"1998-99"
"David Vaughn",205.74,10,3.4,3.4,0.1,3.3,"1998-99"
"David Wesley",185.42,50,14.1,3.2,6.4,2.2,"1998-99"
"David Wingate",195.58,20,0.7,0.4,0.3,14.4,"1998-99"
"DeJuan Wheat",182.88,46,4.5,1,2.2,-9.9,"1998-99"
"Dean Garrett",210.82,49,5.5,5.2,0.6,-3.3,"1998-99"
"Dee Brown",187.96,49,11.2,2.1,2.9,-1,"1998-99"
"Dell Curry",195.58,42,10.1,2,1.1,2.2,"1998-99"
"Dennis Rodman",200.66,23,2.1,11.2,1.3,-1.4,"1998-99"
"Derek Anderson",195.58,38,10.8,2.9,3.8,-1.5,"1998-99"
