"player_name","player_height","gp","pts","reb","ast","net_rating","season"
"Ratko Varda",215.9,1,5,1,0,-41.6,"2001-02"
"Rasho Nesterovic",213.36,82,8.4,6.5,0.9,6.1,"2001-02"
"Rasheed Wallace",210.82,79,19.3,8.2,1.9,6.4,"2001-02"
"Rashard Lewis",208.28,71,16.8,7,1.7,5.4,"2001-02"
"Randy Livingston",193.04,13,3.2,1.9,2,14.3,"2001-02"
"Randy Brown",187.96,1,0,0,2,-29.9,"2001-02"
"Rafer Alston",187.96,50,3.5,1.4,2.9,-4.1,"2001-02"
"Ray Allen",195.58,69,21.8,4.5,3.9,1.2,"2001-02"
"Raef LaFrentz",210.82,78,13.5,7.4,1.1,-1.9,"2001-02"
"Popeye Jones",203.2,79,7,7.3,1.6,1.5,"2001-02"
"Quincy Lewis",200.66,36,4,1.2,1,-3.1,"2001-02"
"Quentin Richardson",198.12,81,13.3,4.1,1.6,1.3,"2001-02"
"Predrag Drobnjak",210.82,64,6.8,3.4,0.8,4.3,"2001-02"
"Peja Stojakovic",205.74,71,21.2,5.3,2.5,7.5,"2001-02"
"Raja Bell",195.58,74,3.4,1.5,1,-5,"2001-02"
"Primoz Brezec",215.9,22,2,1.3,0.3,-7,"2001-02"
"Rodney White",205.74,16,3.5,1.1,0.8,6.6,"2001-02"
"Reggie Slater",200.66,8,2.6,1.1,0.1,-14.2,"2001-02"
"Ryan Bowen",205.74,75,4.9,4,0.7,1,"2001-02"
"Paul Pierce",198.12,82,26.1,6.9,3.2,5.3,"2001-02"
"Rusty LaRue",190.5,33,5.8,1.5,2.2,-5.9,"2001-02"
"Ruben Patterson",195.58,75,11.2,4,1.4,2.6,"2001-02"
"Ruben Boumtje-Boumtje",213.36,33,1.2,1.7,0.1,-12.8,"2001-02"
"Ron Mercer",200.66,53,13.9,3.4,2.4,-11.1,"2001-02"
"Rodney Rogers",200.66,77,11.9,4.5,1.4,4,"2001-02"
"Rodney Buford",195.58,63,9.4,4.3,1.1,-9.5,"2001-02"
"Rod Strickland",190.5,76,10.4,3.1,6.1,1.9,"2001-02"
"Robert Traylor",203.2,61,3.7,3.1,0.6,-3.1,"2001-02"
"Robert Pack",187.96,16,3.9,1.4,3.1,-6.3,"2001-02"
"Robert Horry",208.28,81,6.8,5.9,2.9,8.3,"2001-02"
"Ricky Davis",200.66,82,11.7,3,2.2,-4.3,"2001-02"
"Rick Fox",200.66,82,7.9,4.7,3.5,6.1,"2001-02"
"Rick Brunson",193.04,59,2.1,1.2,1.9,-1,"2001-02"
"Richard Jefferson",200.66,79,9.4,3.7,1.8,2.7,"2001-02"
