"player_name","player_height","gp","pts","reb","ast","net_rating","season"
"Hollis Thompson",203.2,77,9.8,3.5,1.3,-8.4,"2015-16"
"Zach Randolph",205.74,68,15.3,7.8,2.1,-2,"2015-16"
"Garrett Temple",198.12,80,7.3,2.7,1.8,0.4,"2015-16"
"Gary Harris",193.04,76,12.3,2.9,1.9,-5.1,"2015-16"
"Gary Neal",193.04,40,9.8,2.1,1.2,-9,"2015-16"
"George Hill",190.5,74,12.1,4,3.5,2.5,"2015-16"
"Gerald Green",200.66,69,8.9,2.4,0.8,1.3,"2015-16"
"Gerald Henderson",195.58,72,8.7,2.9,1,1.6,"2015-16"
"Giannis Antetokounmpo",210.82,80,16.9,7.7,4.3,-2.6,"2015-16"
"Glenn Robinson III",200.66,45,3.8,1.5,0.6,-4.4,"2015-16"
"Goran Dragic",190.5,72,14.1,3.8,5.8,4.1,"2015-16"
"Gordon Hayward",203.2,80,19.7,5,3.7,1,"2015-16"
"Gorgui Dieng",210.82,82,10.1,7.1,1.7,0.8,"2015-16"
"Greg Monroe",210.82,79,15.3,8.8,2.3,-2.7,"2015-16"
"Greg Smith",208.28,18,2.4,2.3,0.3,-17.8,"2015-16"
"Greivis Vasquez",198.12,23,5.7,2,4,-8.9,"2015-16"
"Harrison Barnes",203.2,66,11.7,4.9,1.8,10.5,"2015-16"
"Hassan Whiteside",213.36,73,14.2,11.8,0.4,3,"2015-16"
"Henry Sims",208.28,14,6.5,5.1,0.6,-16.8,"2015-16"
"Zaza Pachulia",210.82,76,8.6,9.4,1.7,0.9,"2015-16"
"Ian Clark",190.5,66,3.6,1,1,-5.2,"2015-16"
"Ian Mahinmi",210.82,71,9.3,7.1,1.5,4.3,"2015-16"
"Iman Shumpert",195.58,54,5.8,3.8,1.7,7.8,"2015-16"
"Isaiah Canaan",182.88,77,11,2.3,1.8,-12.6,"2015-16"
"Isaiah Thomas",175.26,82,22.2,3,6.2,3.7,"2015-16"
"Ish Smith",182.88,77,12.6,4,6.5,-7.5,"2015-16"
"J.J. Barea",182.88,74,10.9,2.1,4.1,-1.8,"2015-16"
"Frank Kaminsky",213.36,81,7.5,4.1,1.2,-0.4,"2015-16"
"Festus Ezeli",210.82,46,7,5.6,0.7,14.3,"2015-16"
"Evan Turner",200.66,81,10.5,4.9,4.4,1.8,"2015-16"
"Evan Fournier",200.66,79,15.4,2.8,2.7,-3.7,"2015-16"
"Dewayne Dedmon",213.36,58,4.4,3.9,0.2,-2.7,"2015-16"
"Dion Waiters",193.04,78,9.8,2.6,2,3.7,"2015-16"
"Dirk Nowitzki",213.36,75,18.3,6.5,1.8,3.6,"2015-16"
"Donald Sloan",190.5,61,7,2.8,4.4,-5.1,"2015-16"
"Donatas Motiejunas",213.36,37,6.2,2.9,1.1,4.6,"2015-16"
"Doug McDermott",203.2,81,9.4,2.4,0.7,-3.7,"2015-16"
"Draymond Green",200.66,81,14,9.5,7.4,18.9,"2015-16"
"Drew Gooden",208.28,30,2.7,2.8,0.4,-12,"2015-16"
"Duje Dukan",205.74,1,6,4,1,-18.1,"2015-16"
"Dwight Howard",210.82,71,13.7,11.8,1.4,0.2,"2015-16"
"Dwight Powell",210.82,69,5.8,4,0.6,-1,"2015-16"
"Dwyane Wade",193.04,74,19,4.1,4.6,1,"2015-16"
"JJ Hickson",205.74,35,5.9,3.8,0.7,-7.4,"2015-16"
"E'Twaun Moore",193.04,59,7.5,2.3,1.7,-1,"2015-16"
"Edy Tavares",220.98,11,2.3,1.9,0.3,-3.1,"2015-16"
"Elfrid Payton",193.04,73,10.7,3.6,6.4,-2.1,"2015-16"
