"player_name","player_height","gp","pts","reb","ast","net_rating","season"
"Freddie Gillespie",205.74,20,5.6,4.9,0.5,-9.6,"2020-21"
"Gary Trent Jr.",195.58,58,15.3,2.6,1.4,-1.8,"2020-21"
"Gary Payton II",190.5,10,2.5,1.1,0.1,2.2,"2020-21"
"Gary Harris",193.04,39,9.9,2,2,-4.2,"2020-21"
"Gary Clark",198.12,39,3.1,2.9,0.8,-7.7,"2020-21"
"Gabriel Deck",198.12,10,8.4,4,2.4,-12.7,"2020-21"
"Garrett Temple",195.58,56,7.6,2.9,2.2,1.5,"2020-21"
"Gabe Vincent",190.5,50,4.8,1.1,1.3,-5.9,"2020-21"
"Frank Ntilikina",193.04,33,2.7,0.9,0.6,-3.6,"2020-21"
"George Hill",193.04,30,8.7,2,2.4,-0.4,"2020-21"
"Furkan Korkmaz",200.66,55,9.1,2.1,1.5,6,"2020-21"
"Fred VanVleet",185.42,52,19.6,4.2,6.3,3.3,"2020-21"
"Garrison Mathews",195.58,64,5.5,1.4,0.4,-5.6,"2020-21"
"Georges Niang",200.66,72,6.9,2.4,0.8,14.6,"2020-21"
"Grayson Allen",193.04,50,10.6,3.2,2.2,0.5,"2020-21"
"Glenn Robinson III",198.12,23,5.3,2,0.9,-17.3,"2020-21"
"Goga Bitadze",210.82,45,5.1,3.3,0.8,-0.8,"2020-21"
"Goran Dragic",190.5,50,13.4,3.4,4.4,1.5,"2020-21"
"Gordon Hayward",200.66,44,19.6,5.9,4.1,0.7,"2020-21"
"Gorgui Dieng",208.28,38,6.8,3.7,1.3,-6.7,"2020-21"
"Grant Riller",187.96,7,2.6,0.1,0.4,-5.4,"2020-21"
"Grant Williams",198.12,63,4.7,2.8,1,-1.9,"2020-21"
"Greg Whittington",203.2,4,0,0,0,33.3,"2020-21"
"Hamidou Diallo",195.58,52,11.6,5.2,1.9,-8.6,"2020-21"
"Harrison Barnes",203.2,58,16.1,6.6,3.5,-1.8,"2020-21"
"Henry Ellenson",208.28,2,7.5,6,2.5,10.6,"2020-21"
"Frank Mason",180.34,4,6.3,3,3,-11.1,"2020-21"
"Hassan Whiteside",213.36,36,8.1,6,0.6,-8.1,"2020-21"
"Harry Giles III",210.82,38,2.8,3.5,0.8,-10.4,"2020-21"
"Giannis Antetokounmpo",210.82,61,28.1,11,5.9,9.8,"2020-21"
"Frank Kaminsky",213.36,47,6.6,4,1.7,4.6,"2020-21"
"Dorian Finney-Smith",200.66,60,9.8,5.4,1.7,5.1,"2020-21"
"Facundo Campazzo",177.8,65,6.1,2.1,3.6,2.8,"2020-21"
"Devontae Cacok",200.66,20,2,1.6,0.1,18.1,"2020-21"
"Devonte' Graham",185.42,55,14.8,2.7,5.4,2.1,"2020-21"
"Ignas Brazdeikis",198.12,13,7,3.5,1.3,-4.3,"2020-21"
"Dewayne Dedmon",213.36,16,7.1,5.4,0.8,17.1,"2020-21"
"Didi Louzada",195.58,3,2.7,1,1,-7.3,"2020-21"
"Dillon Brooks",200.66,67,17.2,2.9,2.3,4.5,"2020-21"
"Domantas Sabonis",210.82,62,20.3,12,6.7,-1.9,"2020-21"
"Donovan Mitchell",185.42,53,26.4,4.4,5.2,7.9,"2020-21"
"Donta Hall",208.28,13,5.6,4.8,0.8,-6.5,"2020-21"
"Donte DiVincenzo",193.04,66,10.4,5.8,3.1,8.1,"2020-21"
"Doug McDermott",200.66,66,13.6,3.3,1.3,-1.8,"2020-21"
"Draymond Green",198.12,63,7,7.1,8.9,5.4,"2020-21"
"Drew Eubanks",205.74,54,5.8,4.5,0.8,-4.6,"2020-21"
"Duncan Robinson",200.66,72,13.1,3.5,1.8,2.3,"2020-21"
"Frank Jackson",190.5,40,9.8,2.2,0.9,-1,"2020-21"
"Dwayne Bacon",198.12,72,10.9,3.1,1.3,-11.4,"2020-21"
"Dwight Powell",208.28,58,5.9,4,1.1,4,"2020-21"
"Dylan Windler",198.12,31,5.2,3.5,1.1,-6.5,"2020-21"
"E'Twaun Moore",190.5,27,4.9,1.7,1.5,0.5,"2020-21"
"Ed Davis",205.74,23,2.1,5,0.9,-7.6,"2020-21"
"Edmond Sumner",193.04,53,7.5,1.8,0.9,-0.4,"2020-21"
"Elfrid Payton",190.5,63,10.1,3.4,3.2,-3,"2020-21"
"Elijah Bryant",195.58,1,16,6,3,14,"2020-21"
"Elijah Hughes",195.58,18,1.7,0.5,0.3,-28.8,"2020-21"
"Enes Kanter",208.28,72,11.2,11,1.2,4.9,"2020-21"
"Eric Bledsoe",185.42,71,12.2,3.4,3.8,-1.8,"2020-21"
"Eric Gordon",190.5,27,17.8,2.1,2.6,-3.3,"2020-21"
"Eric Paschall",198.12,40,9.5,3.2,1.3,-6.8,"2020-21"
"Ersan Ilyasova",205.74,17,3.8,1.7,0.2,6.7,"2020-21"
"Evan Fournier",200.66,42,17.1,3,3.4,-1.4,"2020-21"
"Dwight Howard",208.28,69,7,8.4,0.9,-2.4,"2020-21"
"Iman Shumpert",195.58,2,1,0.5,0,-4.3,"2020-21"
"Jayson Tatum",203.2,64,26.4,7.4,4.3,3,"2020-21"
"Isaac Bonga",203.2,40,2,1.7,0.6,-3.3,"2020-21"
"Jaren Jackson Jr.",210.82,11,14.4,5.6,1.1,-10.5,"2020-21"
"Jarred Vanderbilt",205.74,64,5.4,5.8,1.2,-1.1,"2020-21"
"Jarrell Brantley",195.58,28,2.3,1,0.5,-9.1,"2020-21"
"Jarrett Allen",210.82,63,12.8,10,1.7,-5.6,"2020-21"
"Jarrett Culver",198.12,34,5.3,3.1,0.7,-10.7,"2020-21"
"Javonte Green",193.04,41,3.6,1.7,0.4,1.8,"2020-21"
"Jaxson Hayes",210.82,60,7.5,4.3,0.6,-0.9,"2020-21"
"Jay Scrubb",195.58,4,8.8,3.5,0.3,-2.8,"2020-21"
"Jaylen Adams",182.88,7,0.3,0.4,0.3,-31,"2020-21"
"Jaylen Brown",198.12,58,24.7,6,3.4,1.8,"2020-21"
"Jaylen Hoard",203.2,19,6.1,3.4,1.3,-9.1,"2020-21"
"Jaylen Nowell",193.04,42,9,2.3,1.5,-6.6,"2020-21"
"Jeff Green",203.2,68,11,3.9,1.6,3.3,"2020-21"
