"player_name","player_height","gp","pts","reb","ast","net_rating","season"
"Jerry Stackhouse",198.12,10,4.2,1.7,1.2,-24.1,"2008-09"
"Joe Johnson",200.66,79,21.4,4.4,5.8,2.6,"2008-09"
"Jerryd Bayless",190.5,53,4.3,1.1,1.5,-1.4,"2008-09"
"Joakim Noah",210.82,80,6.7,7.6,1.3,2.5,"2008-09"
"Joe Alexander",203.2,59,4.7,1.9,0.7,-3.1,"2008-09"
"Joe Crawford",195.58,2,4.5,2,0.5,16.8,"2008-09"
"Joe Smith",208.28,57,6.6,4.6,0.7,-2.1,"2008-09"
"Jose Calderon",190.5,68,12.8,2.9,8.9,-2.6,"2008-09"
"Joel Anthony",205.74,65,2.2,3,0.4,-3.1,"2008-09"
"Joel Przybilla",215.9,82,5.5,8.7,0.3,9,"2008-09"
"Joey Dorsey",203.2,3,0.7,0.3,0.3,-28.4,"2008-09"
"Joey Graham",200.66,78,7.7,3.7,0.6,-3.9,"2008-09"
"Johan Petro",213.36,49,3.3,3.2,0.3,-16.8,"2008-09"
"John Salmons",198.12,79,18.3,4.2,3.2,-8.4,"2008-09"
"Jerome James",215.9,2,3,1.5,0,-3.8,"2008-09"
"Jordan Farmar",187.96,65,6.4,1.8,2.4,1.7,"2008-09"
"Josh Boone",208.28,62,4.2,4.2,0.5,-2.7,"2008-09"
"Jermareo Davidson",208.28,14,3,2.4,0.1,-5,"2008-09"
"Jason Kidd",193.04,81,9,6.2,8.7,5.4,"2008-09"
"Jeremy Richardson",200.66,12,3.1,1.2,0.3,-16.4,"2008-09"
"James White",200.66,4,1.8,0,0.3,-31.6,"2008-09"
"Jared Dudley",200.66,68,5.5,3,0.8,0.5,"2008-09"
"Josh Howard",200.66,52,18,5.1,1.6,6.4,"2008-09"
"James Singleton",203.2,62,5.1,4,0.3,5.1,"2008-09"
"Jared Jeffries",210.82,56,5.3,4.1,1.4,-3.4,"2008-09"
"Jarrett Jack",190.5,82,13.1,3.4,4.1,-0.9,"2008-09"
"Jarron Collins",210.82,26,1.5,1.4,0.3,-11.2,"2008-09"
"Jarvis Hayes",203.2,74,8.7,3.6,0.7,-0.1,"2008-09"
"Jason Collins",213.36,31,1.8,2.3,0.4,-23.1,"2008-09"
"Jason Hart",190.5,39,2,1.2,1.2,-20.4,"2008-09"
"Jason Kapono",203.2,80,8.2,2,1.3,-4.2,"2008-09"
"Jason Maxiell",200.66,78,5.8,4.2,0.3,-4.4,"2008-09"
"Jason Richardson",198.12,72,16.8,4.4,2,-0.4,"2008-09"
"Jason Terry",187.96,74,19.6,2.4,3.4,3.7,"2008-09"
"Jason Thompson",210.82,82,11.1,7.4,1.1,-6.9,"2008-09"
"Javaris Crittenton",195.58,63,5,2.6,2.4,-10,"2008-09"
"Jawad Williams",205.74,10,1.2,0.2,0,13.5,"2008-09"
"Jeff Foster",210.82,74,6.1,6.9,1.8,1.8,"2008-09"
"Jeff Green",205.74,78,16.5,6.7,2,-8,"2008-09"
"Jermaine O'Neal",210.82,68,13.3,6.4,1.8,-3.3,"2008-09"
"Josh McRoberts",208.28,33,2.4,2.2,0.5,-1.7,"2008-09"
"Kyle Lowry",182.88,77,7.6,2.5,3.6,-4.5,"2008-09"
"Josh Smith",205.74,69,15.6,7.2,2.4,3.5,"2008-09"
"Kyle Weaver",198.12,56,5.3,2.3,1.8,-1.6,"2008-09"
"Kyrylo Fesenko",215.9,21,2.3,1.8,0.2,4.4,"2008-09"
"LaMarcus Aldridge",210.82,81,18.1,7.5,1.9,8.7,"2008-09"
"Lamar Odom",208.28,78,11.3,8.2,2.6,14.8,"2008-09"
"Larry Hughes",195.58,55,11.6,2.9,2.2,-4.7,"2008-09"
"LeBron James",203.2,81,28.4,7.6,7.2,14.7,"2008-09"
"Leandro Barbosa",190.5,70,14.2,2.6,2.3,1.2,"2008-09"
"Leon Powe",203.2,70,7.7,4.9,0.7,8.7,"2008-09"
"Kyle Korver",200.66,78,9,3.3,1.8,4.4,"2008-09"
"Linas Kleiza",203.2,82,9.9,4,0.8,-0.1,"2008-09"
"Linton Johnson",203.2,10,0.9,0.8,0.2,-19,"2008-09"
"Lorenzen Wright",210.82,17,1.4,1.5,0.2,0.8,"2008-09"
"Lou Amundson",205.74,76,4.2,3.6,0.4,3.2,"2008-09"
"Lou Williams",187.96,81,12.8,2,3,-2.6,"2008-09"
"Luc Mbah a Moute",203.2,82,7.2,5.9,1.1,-0.6,"2008-09"
"James Posey",203.2,75,8.9,4.8,1.1,1.4,"2008-09"
"Luke Ridnour",187.96,72,9.6,3,5.1,-1.9,"2008-09"
"Luis Scola",205.74,82,12.7,8.8,1.5,4.5,"2008-09"
"Lindsey Hunter",187.96,28,2.6,0.4,1.3,-9.8,"2008-09"
"Josh Powell",205.74,60,4.2,2.9,0.5,-9.2,"2008-09"
"Kwame Brown",210.82,58,4.2,5,0.6,-0.3,"2008-09"
"Kris Humphries",205.74,29,3.9,2.4,0.3,-0.6,"2008-09"
"Juan Dixon",190.5,50,5.2,1.3,2.4,-8.8,"2008-09"
"Julian Wright",203.2,54,4.4,2.8,0.8,1.3,"2008-09"
"Juwan Howard",205.74,42,4.1,1.8,0.6,-10.9,"2008-09"
"Kareem Rush",198.12,25,2.2,0.6,0.6,-5.6,"2008-09"
"Keith Bogans",195.58,65,5.6,3.1,1,3.5,"2008-09"
"Kelenna Azubuike",195.58,74,14.4,5,1.6,-1.9,"2008-09"
"Kendrick Perkins",208.28,76,8.5,8.1,1.3,9,"2008-09"
"Kenny Thomas",200.66,8,0.8,1.9,0.1,-5,"2008-09"
"Kurt Thomas",205.74,79,4.3,5.1,0.8,4.1,"2008-09"
"Kenyon Martin",205.74,66,11.7,6,2,4.7,"2008-09"
"Kevin Garnett",210.82,57,15.8,8.5,2.5,14.9,"2008-09"
"Kevin Love",208.28,81,11.1,9.1,1,-8.2,"2008-09"
"Kevin Martin",200.66,51,24.6,3.6,2.7,-7.8,"2008-09"
"Kevin Ollie",187.96,50,4,1.5,2.3,-8.3,"2008-09"
"Keyon Dooling",190.5,77,9.7,2,3.5,-6.4,"2008-09"
"Kirk Hinrich",190.5,51,9.9,2.4,3.9,7.2,"2008-09"
"Kobe Bryant",198.12,82,26.8,5.2,4.9,10.8,"2008-09"
"Kosta Koufos",213.36,48,4.7,2.9,0.4,-1.9,"2008-09"
"Kevin Durant",205.74,74,25.3,6.5,2.8,-9.5,"2008-09"
"James Jones",203.2,40,4.2,1.6,0.5,1,"2008-09"
"Dirk Nowitzki",213.36,81,25.9,8.4,2.4,4.1,"2008-09"
"Jamario Moon",203.2,80,7.2,4.6,1.2,2,"2008-09"
"Delonte West",190.5,64,11.7,3.2,3.5,15.3,"2008-09"
"Demetris Nichols",203.2,4,1.8,0.5,0.3,35.6,"2008-09"
"Derek Fisher",185.42,82,9.9,2.3,3.2,10.7,"2008-09"
"Deron Williams",190.5,68,19.4,2.9,10.7,3,"2008-09"
"Derrick Rose",190.5,81,16.8,3.9,6.3,-2.5,"2008-09"
"Desmon Farmer",195.58,3,4.3,2,0.7,5.9,"2008-09"
"Desmond Mason",195.58,39,7.5,4,1.2,-4,"2008-09"
"Devean George",203.2,43,3.4,1.8,0.3,-4.1,"2008-09"
"Dee Brown",182.88,19,2.4,1.5,1.9,-5.9,"2008-09"
"Devin Brown",195.58,63,5.2,1.9,0.9,-0.1,"2008-09"
"Dikembe Mutombo",218.44,9,1.8,3.7,0,1.8,"2008-09"
"Dominic McGuire",205.74,79,4.5,5.4,2.5,-9.4,"2008-09"
"Donte Greene",210.82,55,3.8,1.6,0.5,-11.9,"2008-09"
"Dontell Jefferson",195.58,6,4.8,2,1.5,-5.1,"2008-09"
"Donyell Marshall",205.74,25,3.8,1.6,0.6,11.2,"2008-09"
"Dorell Wright",205.74,6,3,3.3,0.3,-14.6,"2008-09"
"Drew Gooden",208.28,51,11.9,7.1,0.9,-4.6,"2008-09"
"Dwayne Jones",208.28,6,2,2,0,6.6,"2008-09"
"Devin Harris",190.5,69,21.3,3.3,6.9,-2,"2008-09"
"Dwight Howard",210.82,79,20.6,13.8,1.4,10.6,"2008-09"
"DeShawn Stevenson",195.58,32,6.6,2.4,3.1,-11,"2008-09"
"DeMarcus Nelson",193.04,13,4.1,1.8,1,-13.8,"2008-09"
"Luke Walton",203.2,65,5,2.8,2.7,8.1,"2008-09"
"DJ White",205.74,7,8.9,4.6,0.9,-0.2,"2008-09"
"Daequan Cook",195.58,75,9.1,2.5,0.9,-0.3,"2008-09"
"Dahntay Jones",198.12,79,5.4,2.1,1,-1,"2008-09"
"Damien Wilkins",198.12,41,5.3,1.7,0.9,-11.7,"2008-09"
"Damon Jones",190.5,18,1.8,0.3,0.4,1.7,"2008-09"
"Dan Gadzuric",210.82,67,4,3.8,0.6,-2.5,"2008-09"
"Daniel Gibson",187.96,75,7.8,2.1,1.8,7,"2008-09"
"DeSagana Diop",213.36,75,2.3,3.6,0.4,-7.8,"2008-09"
"Danilo Gallinari",208.28,28,6.1,2,0.5,4.9,"2008-09"
"Darius Miles",205.74,34,3.5,1.7,0.5,-13.2,"2008-09"
"Darius Songaila",205.74,77,7.4,2.9,1.2,-5.4,"2008-09"
"Darko Milicic",213.36,61,5.5,4.3,0.6,-4,"2008-09"
"Darnell Jackson",205.74,51,1.9,1.7,0.2,-7.5,"2008-09"
"Darrell Arthur",205.74,76,5.6,4.6,0.6,-7.3,"2008-09"
"David Lee",205.74,81,16,11.7,2.1,-3.3,"2008-09"
"David West",205.74,76,21,8.5,2.3,4.1,"2008-09"
"DeAndre Jordan",210.82,53,4.3,4.5,0.2,-15.9,"2008-09"
"Danny Granger",203.2,67,25.8,5.1,2.7,1.2,"2008-09"
"Dwyane Wade",193.04,79,30.2,5,7.5,3.6,"2008-09"
"Earl Watson",185.42,68,6.6,2.7,5.8,-8.3,"2008-09"
"Eddie Gill",182.88,6,2.3,0.7,1.8,-21.1,"2008-09"
"Hakim Warrick",205.74,82,11.6,5,0.8,-5,"2008-09"
"Hamed Haddadi",218.44,19,2.5,2.5,0.4,19.7,"2008-09"
"Hassan Adams",193.04,12,0.9,0.6,0.1,-17.7,"2008-09"
"Hedo Turkoglu",208.28,77,16.8,5.3,4.9,10.5,"2008-09"
"Henry Walker",198.12,29,3,1,0.4,-11,"2008-09"
"Hilton Armstrong",210.82,70,4.8,2.8,0.4,-3.9,"2008-09"
"Ike Diogu",205.74,29,4.1,1.9,0.1,-19.9,"2008-09"
"Ime Udoka",195.58,67,4.3,2.8,0.8,6.2,"2008-09"
"Greg Oden",213.36,61,8.9,7,0.5,7.6,"2008-09"
"J.J. Barea",182.88,79,7.8,2.2,3.4,2,"2008-09"
"JJ Hickson",205.74,62,4,2.7,0.1,-5.1,"2008-09"
"JJ Redick",193.04,64,6,1.7,1.1,5.7,"2008-09"
"JR Smith",198.12,81,15.2,3.7,2.8,7.6,"2008-09"
"JaVale McGee",213.36,75,6.5,3.9,0.3,-12.6,"2008-09"
"Jacque Vaughn",185.42,30,2.2,0.7,1.8,-4.8,"2008-09"
"Jake Voskuhl",210.82,38,0.9,1.6,0.2,3.3,"2008-09"
"Jamaal Magloire",210.82,55,2.9,4,0.4,3.3,"2008-09"
"Jamal Crawford",195.58,65,19.7,3,4.4,-3.7,"2008-09"
"J.R. Giddens",195.58,6,0.7,0.5,0,15.4,"2008-09"
"Greg Buckner",193.04,63,2.5,2.1,0.9,-2.5,"2008-09"
"Grant Hill",203.2,82,12,4.9,2.3,4.4,"2008-09"
"Goran Dragic",193.04,55,4.5,1.9,2,0.2,"2008-09"
