"player_name","player_height","gp","pts","reb","ast","net_rating","season"
"Nick Van Exel",185.42,64,13.8,3,6.9,8.1,"1997-98"
"Nick Anderson",198.12,58,15.3,5.1,2.1,0.1,"1997-98"
"Nate McMillan",195.58,18,3.4,2.2,3.1,10.4,"1997-98"
"Muggsy Bogues",160.02,61,5.7,2.2,5.4,-8.4,"1997-98"
"Mookie Blaylock",185.42,70,13.2,4.9,6.7,8.4,"1997-98"
"Monty Williams",203.2,72,6.3,2.5,1.2,0.7,"1997-98"
"Mitchell Butler",195.58,18,2.1,1.2,1,2,"1997-98"
"Mitch Richmond",195.58,70,23.2,3.3,4,-2.6,"1997-98"
"Micheal Williams",187.96,25,2.6,0.6,1.3,0.4,"1997-98"
"Matt Geiger",215.9,78,11.3,6.7,1,-1.1,"1997-98"
"Michael Smith",203.2,48,5.2,6.4,1.8,-6.6,"1997-98"
"Michael McDonald",208.28,1,0,1,0,-71.4,"1997-98"
"Michael Jordan",198.12,82,28.7,5.8,3.5,8.5,"1997-98"
"Michael Finley",200.66,82,21.5,5.3,4.9,-6.7,"1997-98"
"Michael Curry",195.58,82,6.6,1.2,1.7,-3.9,"1997-98"
"Michael Cage",205.74,79,1.3,3.9,0.4,2.4,"1997-98"
"Maurice Taylor",205.74,71,11.5,4.2,0.7,-9.5,"1997-98"
"Matt Maloney",190.5,78,8.6,1.8,2.8,-1.9,"1997-98"
"Olden Polynice",213.36,70,7.9,6.3,1.5,-5.9,"1997-98"
"Matt Bullard",208.28,67,7,2.2,0.9,-3.1,"1997-98"
"Michael Stewart",208.28,81,4.6,6.6,0.8,-3,"1997-98"
"Oliver Miller",205.74,64,6.3,6.3,3.1,-9.9,"1997-98"
"Randy Livingston",193.04,12,0.8,0.5,0.4,-5,"1997-98"
"Otis Thorpe",208.28,74,10.2,7.3,3,-12.5,"1997-98"
"Rick Fox",200.66,82,12,4.4,3.4,7.8,"1997-98"
"Marty Conlon",210.82,18,4.9,2.6,0.7,4.4,"1997-98"
"Rick Brunson",193.04,38,4.3,1.5,2.6,-1.4,"1997-98"
"Rex Walters",193.04,38,2.1,0.6,0.9,-9.9,"1997-98"
"Rex Chapman",193.04,68,15.9,2.5,3,3.2,"1997-98"
"Reggie Slater",200.66,78,8,3.9,0.9,-7.2,"1997-98"
"Reggie Miller",200.66,81,19.5,2.9,2.1,10.5,"1997-98"
"Reggie Jordan",193.04,57,2.6,1.7,0.9,6.8,"1997-98"
"Reggie Hanson",203.2,8,0.8,0.8,0.1,7.3,"1997-98"
