"player_name","player_height","gp","pts","reb","ast","net_rating","season"
"Popeye Jones",203.2,26,2,2.3,0.3,-8.8,"2002-03"
"Michael Doleac",210.82,75,4.4,2.9,0.6,-5.3,"2002-03"
"Michael Finley",200.66,69,19.3,5.8,3,12.6,"2002-03"
"Michael Jordan",198.12,82,20,6.1,3.8,0,"2002-03"
"Predrag Savovic",198.12,27,3.1,0.9,0.8,-9.8,"2002-03"
"Michael Redd",198.12,82,15.1,4.5,1.4,2.6,"2002-03"
"Michael Dickerson",195.58,6,4.8,1,1.3,-6.9,"2002-03"
"Predrag Drobnjak",210.82,82,9.4,3.9,1,-3,"2002-03"
"Michael Olowokandi",213.36,36,12.3,9.1,1.3,-4.8,"2002-03"
"Michael Curry",195.58,78,3,1.6,1.3,-1.2,"2002-03"
"Matt Harpring",200.66,78,17.6,6.6,1.7,5.2,"2002-03"
"Metta World Peace",200.66,69,15.5,5.2,2.9,7.6,"2002-03"
"Mengke Bateer",210.82,12,0.8,0.8,0.3,-18.5,"2002-03"
"Melvin Ely",208.28,52,4.5,3.3,0.3,3.4,"2002-03"
"Mehmet Okur",210.82,72,6.9,4.7,1,4.3,"2002-03"
"Maurice Taylor",205.74,67,8.4,3.6,1,-0.1,"2002-03"
"Matt Maloney",190.5,14,1.7,0.5,1.2,11.9,"2002-03"
"Mateen Cleaves",187.96,12,1.3,0.7,0.8,1.1,"2002-03"
"Marko Jaric",200.66,66,7.4,2.4,2.9,1.4,"2002-03"
"Mark Strickland",208.28,4,1,1.8,0,-19.2,"2002-03"
"Mark Madsen",205.74,54,3.2,2.9,0.7,0.6,"2002-03"
"Pepe Sanchez",193.04,9,0,0.7,0.9,1.2,"2002-03"
"Michael Bradley",208.28,67,5,6.1,1,-8.9,"2002-03"
"Peja Stojakovic",208.28,72,19.2,5.5,2,8.2,"2002-03"
"Mike Wilks",177.8,46,3.2,1.5,2,-1.5,"2002-03"
"Paul Pierce",198.12,79,25.9,7.3,4.4,2.7,"2002-03"
"Mark Jackson",190.5,82,4.7,2.1,4.6,-0.4,"2002-03"
"Michael Stewart",208.28,47,0.8,1.2,0.1,-12,"2002-03"
"Mike Batiste",203.2,75,6.4,3.4,0.7,-6.2,"2002-03"
"Mike Bibby",185.42,55,15.9,2.7,5.2,8.6,"2002-03"
"Mike Dunleavy",205.74,82,5.7,2.6,1.3,2.5,"2002-03"
"Mike James",187.96,78,7.8,1.9,3.2,-3,"2002-03"
"Mike Miller",203.2,65,15.6,5.2,2.6,2.2,"2002-03"
"Mikki Moore",213.36,8,2.3,1,0.4,-18,"2002-03"
"Milt Palacio",190.5,80,5,2.9,3.2,-11.5,"2002-03"
"Monty Williams",203.2,21,4.4,2.1,1.2,8.6,"2002-03"
"Moochie Norris",187.96,82,4.4,1.9,2.4,-0.1,"2002-03"
"Paul Shirley",208.28,2,0,0.5,0,66.5,"2002-03"
"Morris Peterson",200.66,82,14.1,4.4,2.3,-6,"2002-03"
"Nazr Mohammed",208.28,35,4.6,3.7,0.2,-12.3,"2002-03"
"Nene",210.82,80,10.5,6.1,1.9,-7,"2002-03"
"Nick Van Exel",185.42,73,12.5,2.8,4.3,6,"2002-03"
"Nikoloz Tskitishvili",213.36,81,3.9,2.2,1.1,-9.8,"2002-03"
"Olumide Oyedeji",208.28,27,1,1.9,0.2,-7.9,"2002-03"
"Oscar Torres",198.12,17,3.1,0.7,0.2,7.1,"2002-03"
"Othella Harrington",205.74,74,7.7,6.4,0.8,-1.6,"2002-03"
"P.J. Brown",210.82,78,10.7,9,1.9,2.4,"2002-03"
"Pat Burke",210.82,62,4.3,2.4,0.4,-11.9,"2002-03"
"Pat Garrity",205.74,81,10.7,3.8,1.5,2.2,"2002-03"
"Pau Gasol",213.36,82,19,8.8,2.8,-2.6,"2002-03"
"Nate Huffman",215.9,7,3.3,3.3,0.7,0.7,"2002-03"
"Mark Bryant",205.74,16,0.8,1.3,0.3,-9.6,"2002-03"
"Stephen Jackson",203.2,80,11.8,3.6,2.3,5.2,"2002-03"
"Marcus Haislip",208.28,39,4.1,1.4,0.2,-3.8,"2002-03"
"Kevin Ollie",187.96,82,6.5,2.2,3.5,5.2,"2002-03"
"Kevin Garnett",210.82,82,23,13.4,6,6.8,"2002-03"
"Kerry Kittles",195.58,65,13,3.9,2.6,5.4,"2002-03"
"Keon Clark",210.82,80,6.7,5.6,1,6.2,"2002-03"
"Kenyon Martin",205.74,77,16.7,8.3,2.4,7.3,"2002-03"
"Kenny Thomas",200.66,66,10.1,8,1.7,2.3,"2002-03"
"Kenny Satterfield",187.96,39,3.4,1.1,1.7,-10.4,"2002-03"
"Kenny Anderson",185.42,61,6.1,2.2,3.2,-2.3,"2002-03"
"Kendall Gill",195.58,82,8.7,3,1.9,0.7,"2002-03"
"Ken Johnson",208.28,16,2,2,0,-5.9,"2002-03"
"Kelvin Cato",210.82,73,4.5,5.9,0.3,0.1,"2002-03"
"Keith Van Horn",208.28,74,15.9,7.1,1.3,1.9,"2002-03"
"Kedrick Brown",200.66,51,2.8,2.7,0.4,-3.9,"2002-03"
"Karl Malone",205.74,81,20.6,7.8,4.7,3,"2002-03"
"Kareem Rush",198.12,76,3,1.2,0.9,-3.5,"2002-03"
"Juwan Howard",205.74,77,18.4,7.6,3,-11.2,"2002-03"
"Junior Harrington",193.04,82,5.1,3,3.4,-8.8,"2002-03"
"Jumaine Jones",203.2,80,9.8,5.1,1.4,-9.8,"2002-03"
"Juaquin Hawkins",200.66,58,2.3,1.3,0.8,2,"2002-03"
"Juan Dixon",190.5,42,6.4,1.7,1,-2.4,"2002-03"
"Joseph Forte",193.04,17,1.4,0.6,0.6,-5.8,"2002-03"
"Jonathan Bender",213.36,46,6.6,2.9,0.9,-1,"2002-03"
"Jon Barry",195.58,80,6.9,2.3,2.6,9.6,"2002-03"
"Kevin Willis",213.36,71,4.2,3.2,0.3,-6,"2002-03"
"Mark Blount",213.36,81,5,3.8,0.7,-11.4,"2002-03"
"Keyon Dooling",190.5,55,6.4,1.3,1.6,-6.1,"2002-03"
"Kobe Bryant",200.66,82,30,6.9,5.9,3.7,"2002-03"
"Marcus Fizer",203.2,38,11.7,5.7,1.3,-4,"2002-03"
"Marcus Camby",210.82,29,7.6,7.2,1.6,-12.6,"2002-03"
"Marc Jackson",208.28,77,5.5,2.9,0.5,2.9,"2002-03"
"Manu Ginobili",198.12,69,7.6,2.3,2,6.8,"2002-03"
"Mamadou N'diaye",213.36,22,5.5,3.7,0.3,-3.2,"2002-03"
"Malik Rose",200.66,79,10.4,6.4,1.6,6.3,"2002-03"
"Malik Allen",208.28,80,9.6,5.3,0.7,-8.3,"2002-03"
"Maceo Baston",205.74,16,2.5,1.4,0,-14.9,"2002-03"
"Lucious Harris",195.58,77,10.3,3,2,2.8,"2002-03"
"Lorenzen Wright",210.82,70,11.4,7.5,1.1,-5.5,"2002-03"
"Loren Woods",215.9,38,2.1,2.5,0.5,0.9,"2002-03"
"Lonny Baxter",203.2,55,4.8,3,0.3,-4,"2002-03"
"Lindsey Hunter",187.96,29,9.7,2,2.4,-13.2,"2002-03"
"Lee Nailon",205.74,38,5.5,1.8,0.7,-5.6,"2002-03"
"Lawrence Funderburke",205.74,27,2.7,2,0.3,-1.6,"2002-03"
"Lavor Postell",195.58,12,3.6,0.3,0.3,-0.1,"2002-03"
"Latrell Sprewell",195.58,74,16.4,3.9,4.5,-2.8,"2002-03"
"Larry Hughes",195.58,67,12.8,4.6,3.1,-0.9,"2002-03"
"Lamar Odom",208.28,49,14.6,6.7,3.6,-6.7,"2002-03"
"Primoz Brezec",215.9,22,1.9,1,0.2,11.5,"2002-03"
"LaPhonso Ellis",203.2,55,5,2.9,0.3,0.8,"2002-03"
"Kwame Brown",210.82,80,7.4,5.3,0.7,-2.6,"2002-03"
"Kurt Thomas",205.74,81,14,7.9,2,-1.1,"2002-03"
"Kirk Haston",205.74,12,0.5,0.6,0.3,-23,"2002-03"
"Quentin Richardson",198.12,59,9.4,4.8,0.9,-5.9,"2002-03"
"Stacey Augmon",203.2,70,3,1.7,1,5.4,"2002-03"
"Raef LaFrentz",210.82,69,9.3,4.8,0.8,7.7,"2002-03"
"Sam Cassell",190.5,78,19.7,4.4,5.8,-1.2,"2002-03"
"Samaki Walker",205.74,67,4.4,5.5,1,-2.7,"2002-03"
"Scot Pollard",210.82,23,4.5,4.6,0.3,15.1,"2002-03"
"Scott Padgett",205.74,82,5.7,3.3,1,1.9,"2002-03"
"Scott Williams",208.28,69,4,2.8,0.3,-4.8,"2002-03"
"Scottie Pippen",203.2,64,10.8,4.3,4.5,8.2,"2002-03"
"Sean Lampley",200.66,35,4.8,2.4,0.9,-3.3,"2002-03"
"Sean Marks",208.28,23,2.3,1.5,0.1,-1.7,"2002-03"
"Sean Rooks",208.28,70,4.2,3.1,1,-10.7,"2002-03"
"Shammond Williams",185.42,78,8,2.2,3.4,-3.2,"2002-03"
"Shandon Anderson",198.12,82,8.4,3.1,1.1,-1.2,"2002-03"
"Shane Battier",203.2,78,9.7,4.4,1.3,-2.2,"2002-03"
"Shaquille O'Neal",215.9,67,27.5,11.1,3.1,6.9,"2002-03"
"Shareef Abdur-Rahim",205.74,81,19.9,8.4,3,-2.6,"2002-03"
"Shawn Bradley",228.6,81,6.7,5.9,0.7,10,"2002-03"
"Shawn Kemp",208.28,79,6.8,5.7,0.7,-2.3,"2002-03"
"Shawn Marion",200.66,81,21.2,9.5,2.4,0.8,"2002-03"
"Slava Medvedenko",208.28,58,4.4,2.4,0.3,-5.3,"2002-03"
"Smush Parker",193.04,66,6.2,1.8,2.5,-9.6,"2002-03"
"Soumaila Samake",208.28,13,1.7,1.8,0.3,-10,"2002-03"
"Speedy Claxton",180.34,30,5.8,1.9,2.5,1.7,"2002-03"
"John Stockton",185.42,82,10.8,2.5,7.7,5.2,"2002-03"
"Raja Bell",195.58,75,3.1,1.9,0.8,4.3,"2002-03"
"Ryan Humphrey",203.2,48,1.9,2.1,0.2,-5.6,"2002-03"
"Stephon Marbury",187.96,81,22.3,3.2,8.1,1.5,"2002-03"
"Ryan Bowen",205.74,62,3.6,2.5,0.9,-3.8,"2002-03"
"Ruben Patterson",195.58,78,8.3,3.4,1.3,4,"2002-03"
"Rashard Lewis",208.28,77,18.1,6.5,1.7,-1.6,"2002-03"
"Rasheed Wallace",210.82,74,18.1,7.4,2.1,5.7,"2002-03"
"Rasho Nesterovic",213.36,77,11.2,6.5,1.5,2.3,"2002-03"
"Rasual Butler",200.66,72,7.5,2.6,1.3,-8,"2002-03"
"Ray Allen",195.58,76,22.5,5,4.4,2.6,"2002-03"
"Reggie Evans",203.2,67,3.2,6.6,0.5,-0.4,"2002-03"
"Reggie Miller",200.66,70,12.6,2.5,2.4,3.7,"2002-03"
"Reggie Slater",200.66,26,3.1,1.2,0.2,0.6,"2002-03"
"Richard Hamilton",200.66,82,19.7,3.9,2.5,3.2,"2002-03"
"Richard Jefferson",200.66,80,15.5,6.4,2.5,6.4,"2002-03"
"Rick Brunson",193.04,17,3.5,1.1,2.1,2.3,"2002-03"
"Rick Fox",200.66,76,9,4.3,3.3,2.8,"2002-03"
"Ricky Davis",200.66,79,20.6,4.9,5.5,-10.3,"2002-03"
"Robert Archibald",210.82,12,1.6,1.4,0.3,-7.2,"2002-03"
"Robert Horry",208.28,80,6.5,6.4,2.9,4.4,"2002-03"
"Robert Pack",187.96,28,5.2,1.8,2.9,-10.1,"2002-03"
"Robert Traylor",203.2,69,3.9,3.8,0.7,0.3,"2002-03"
"Rod Strickland",190.5,47,6.8,2,4.6,2.5,"2002-03"
"Rodney Rogers",200.66,68,7,3.9,1.6,2.7,"2002-03"
"Rodney White",205.74,72,9,3,1.7,-11.3,"2002-03"
"Roger Mason Jr.",195.58,17,1.8,0.7,0.7,-6.2,"2002-03"
"Ron Mercer",200.66,72,7.7,2.1,1.6,2,"2002-03"
"Ruben Boumtje-Boumtje",213.36,2,0,0.5,0.5,27.3,"2002-03"
"Ruben Wolkowyski",208.28,7,0.7,0.1,0.1,-61.3,"2002-03"
"Qyntel Woods",203.2,53,2.4,1,0.2,-8.6,"2002-03"
"Steve Francis",190.5,81,21,6.2,6.2,2.4,"2002-03"
"Steve Nash",190.5,82,17.8,2.9,7.3,10.3,"2002-03"
"Troy Murphy",210.82,79,11.7,10.2,1.3,-2.7,"2002-03"
"Tyrone Hill",205.74,56,5.6,7,0.7,-7.3,"2002-03"
"Tyronn Lue",182.88,75,8.6,2,3.5,-0.9,"2002-03"
"Tyson Chandler",215.9,75,9.2,6.9,1,-8.6,"2002-03"
"Vin Baker",210.82,52,5.2,3.8,0.6,-2.2,"2002-03"
"Vince Carter",198.12,43,20.6,4.4,3.3,-1.2,"2002-03"
"Vincent Yarbrough",200.66,59,6.9,2.7,2.2,-7.6,"2002-03"
