"player_name","player_height","gp","pts","reb","ast","net_rating","season"
"Chauncey Billups",190.5,70,17,3.4,7.2,8.4,"2006-07"
"Chris Bosh",208.28,69,22.6,10.7,2.5,4.1,"2006-07"
"Chris Duhon",185.42,78,7.2,2.2,4,4.8,"2006-07"
"Chris Wilcox",208.28,82,13.5,7.7,1,-1.3,"2006-07"
"Chris McCray",195.58,5,0,0,0,-10.7,"2006-07"
"Chris Quinn",187.96,42,3.4,0.7,1.5,2.1,"2006-07"
"Chris Webber",208.28,61,11.2,7.2,3.1,2.3,"2006-07"
"Chuck Hayes",198.12,78,5.6,6.7,0.6,12.5,"2006-07"
"Charlie Villanueva",210.82,39,11.8,5.8,0.9,-0.8,"2006-07"
"Chris Kaman",213.36,75,10.1,7.8,1.1,-3.9,"2006-07"
"Chris Paul",182.88,64,17.3,4.4,8.9,-1.6,"2006-07"
"Carlos Boozer",205.74,74,20.9,11.7,3,2.1,"2006-07"
"Channing Frye",210.82,72,9.5,5.5,0.9,-5,"2006-07"
"Cedric Simmons",205.74,43,2.9,2.5,0.3,-9.2,"2006-07"
"Cedric Bozeman",198.12,23,1.1,1,0.4,-5.2,"2006-07"
"Caron Butler",200.66,63,19.1,7.4,3.7,0.5,"2006-07"
"Carmelo Anthony",203.2,65,28.9,6,3.8,2.7,"2006-07"
"Carlos Delfino",198.12,82,5.2,3.2,1.1,3.4,"2006-07"
"Carlos Arroyo",187.96,72,7.7,1.9,2.8,1.4,"2006-07"
"Calvin Booth",210.82,44,1.6,1.8,0.4,4.1,"2006-07"
"CJ Miles",198.12,37,2.7,0.9,0.7,-9.4,"2006-07"
"Bruce Bowen",200.66,82,6.2,2.7,1.4,12.8,"2006-07"
"Chucky Atkins",180.34,75,13.2,1.9,4.6,-3,"2006-07"
"Brian Skinner",205.74,67,4.4,5.7,0.9,-4.4,"2006-07"
"Charlie Bell",190.5,82,13.5,2.9,3,-5.5,"2006-07"
"Clifford Robinson",208.28,50,4.1,2.4,1,-10.8,"2006-07"
"Darrell Armstrong",185.42,81,5.6,1.7,2.4,-2.1,"2006-07"
"Corliss Williamson",200.66,68,9.1,3.3,0.6,3.7,"2006-07"
"Brian Scalabrine",205.74,54,4,1.9,1.1,-3.8,"2006-07"
"DeSagana Diop",213.36,81,2.3,5.4,0.4,5,"2006-07"
"David West",205.74,52,18.3,8.2,2.2,-0.6,"2006-07"
"David Wesley",185.42,35,2.1,1,1.1,0.8,"2006-07"
"David Noel",198.12,68,2.7,1.8,1,-8.2,"2006-07"
"David Lee",205.74,58,10.7,10.4,1.8,2.6,"2006-07"
"David Harrison",213.36,24,3,1.8,0.3,-12,"2006-07"
"Darrick Martin",180.34,31,3,0.4,1.4,-5.6,"2006-07"
"Darko Milicic",213.36,80,8,5.5,1.1,0.5,"2006-07"
"Darius Songaila",205.74,37,7.6,3.6,1,-2.6,"2006-07"
"Danny Granger",205.74,82,13.9,4.6,1.4,-3.2,"2006-07"
"Danny Fortson",203.2,14,2.9,3.1,0.1,0.5,"2006-07"
"Corey Maggette",198.12,75,16.9,5.9,2.8,1.7,"2006-07"
"Daniel Gibson",187.96,60,4.6,1.5,1.2,3.8,"2006-07"
"Dan Gadzuric",210.82,54,4.8,4.6,0.5,-5.1,"2006-07"
"Dan Dickau",182.88,50,3.3,0.9,1.4,2.6,"2006-07"
"Damon Stoudamire",177.8,62,7.5,2.2,4.8,-7.6,"2006-07"
"Damon Jones",190.5,60,6.6,1.1,1.6,2.3,"2006-07"
"Damir Markota",208.28,30,1.7,1,0.2,-17.6,"2006-07"
"Damien Wilkins",198.12,82,8.8,2.8,1.9,-6.5,"2006-07"
"Dale Davis",210.82,46,1.8,3,0.3,5,"2006-07"
"Dajuan Wagner",190.5,1,4,0,1,4.9,"2006-07"
"Dahntay Jones",198.12,78,7.5,2,0.9,-3.6,"2006-07"
"DJ Mbenga",213.36,21,0.8,0.5,0.3,-11.2,"2006-07"
"Cuttino Mobley",193.04,78,13.8,3.4,2.5,-0.4,"2006-07"
"Craig Smith",200.66,82,7.4,5.1,0.6,-4.8,"2006-07"
"Daniel Ewing",190.5,61,2.9,1.2,1.5,4.3,"2006-07"
"Brian Cook",205.74,65,6.9,3.3,1,2.4,"2006-07"
"Amar'e Stoudemire",208.28,82,20.4,9.6,1,7.8,"2006-07"
"Brevin Knight",177.8,45,9.1,2.6,6.6,-3.3,"2006-07"
"Andres Nocioni",200.66,53,14.1,5.7,1.1,2.5,"2006-07"
"Andrei Kirilenko",205.74,70,8.3,4.7,2.9,-0.3,"2006-07"
"Andreas Glyniadakis",215.9,13,1.3,0.6,0.1,-20.4,"2006-07"
"Andrea Bargnani",213.36,65,11.6,3.9,0.8,2.1,"2006-07"
"Andre Miller",187.96,80,13.4,4.4,7.8,-0.2,"2006-07"
"Andre Iguodala",198.12,76,18.2,5.7,5.7,-3.1,"2006-07"
"Andre Brown",205.74,38,2.4,1.9,0.1,-2.5,"2006-07"
"Andre Barrett",177.8,6,1.3,0.8,1.2,-1.1,"2006-07"
"Andray Blatche",210.82,56,3.7,3.4,0.7,-6.6,"2006-07"
"Anderson Varejao",208.28,81,6.8,6.7,0.9,6.8,"2006-07"
"Amir Johnson",205.74,8,5.9,4.6,0.4,-0.3,"2006-07"
"Alvin Williams",195.58,2,1,0.5,1.5,-40,"2006-07"
"Alonzo Mourning",208.28,77,8.6,4.5,0.2,-0.7,"2006-07"
"Allen Iverson",182.88,65,26.3,3,7.2,0.6,"2006-07"
"Allan Ray",187.96,47,6.2,1.5,0.9,-3.2,"2006-07"
"Alexander Johnson",205.74,59,4.4,3.1,0.3,-1.9,"2006-07"
"Alan Henderson",205.74,38,3.1,2.8,0.3,-1.3,"2006-07"
"Alan Anderson",198.12,17,5.8,1.9,1.2,-3.3,"2006-07"
"Al Jefferson",208.28,69,16,11,1.3,-4.2,"2006-07"
"Al Harrington",205.74,78,16.5,6.4,1.9,-0.8,"2006-07"
"Adrian Griffin",195.58,54,2.5,2,1.1,7.4,"2006-07"
"Adonal Foyle",208.28,48,2.2,2.6,0.4,-3.2,"2006-07"
"Adam Morrison",203.2,78,11.8,2.9,2.1,-7,"2006-07"
"Aaron Williams",205.74,38,2,2.2,0.2,-2.4,"2006-07"
"Aaron McKie",195.58,10,2.2,1.8,1.3,-4,"2006-07"
"Andrew Bogut",213.36,66,12.3,8.8,3,-3.7,"2006-07"
"Brian Cardinal",203.2,28,4.5,2.1,1.1,-5.1,"2006-07"
"Andrew Bynum",213.36,82,7.8,5.9,1.1,-2.4,"2006-07"
"Antawn Jamison",205.74,70,19.8,8,1.9,0.3,"2006-07"
"Brent Barry",200.66,75,8.5,2.1,1.8,6.6,"2006-07"
"Brendan Haywood",213.36,77,6.6,6.2,0.6,1.1,"2006-07"
"Brandon Roy",198.12,57,16.8,4.4,4,-6.1,"2006-07"
"Brandon Bass",203.2,21,2,2,0.1,-9.6,"2006-07"
"Brad Miller",213.36,63,9,6.4,3.6,1.5,"2006-07"
"Bracey Wright",190.5,19,3.5,1.1,0.8,11.8,"2006-07"
"Bostjan Nachbar",205.74,76,9.2,3.3,0.8,0.2,"2006-07"
"Boris Diaw",203.2,73,9.7,4.3,4.8,5.2,"2006-07"
"Bonzi Wells",195.58,28,7.8,4.3,1.1,2.9,"2006-07"
"Bobby Jackson",185.42,56,10.6,3.2,2.5,1.3,"2006-07"
"Bo Outlaw",203.2,41,2,2.6,0.4,0.2,"2006-07"
"Bernard Robinson",198.12,31,2,1.5,0.6,-7.2,"2006-07"
"Beno Udrih",190.5,73,4.7,1.1,1.7,2.1,"2006-07"
"Ben Wallace",205.74,77,6.4,10.7,2.4,3.9,"2006-07"
"Ben Gordon",190.5,82,21.4,3.1,3.6,5.6,"2006-07"
"Baron Davis",190.5,63,20.1,4.4,8.1,4.9,"2006-07"
"Austin Croshere",208.28,61,3.7,3,0.7,0.8,"2006-07"
"Antonio McDyess",205.74,82,8.1,6,0.9,8.7,"2006-07"
"Antonio Daniels",193.04,80,7.1,1.9,3.6,-1,"2006-07"
"Antoine Wright",200.66,63,4.5,2.8,0.9,-4.3,"2006-07"
"Antoine Walker",205.74,78,8.5,4.3,1.7,0.6,"2006-07"
"Anthony Roberson",187.96,20,5.6,1.1,0.5,-14.6,"2006-07"
"Anthony Parker",198.12,73,12.4,3.9,2.1,7.5,"2006-07"
"Anthony Johnson",190.5,67,5.3,1.5,3,-5.1,"2006-07"
"Anthony Carter",187.96,2,3,1.5,5.5,6.2,"2006-07"
"Andris Biedrins",210.82,82,9.5,9.3,1.1,3.1,"2006-07"
"Bobby Jones",200.66,44,2.5,1.3,0.4,5.8,"2006-07"
"Johan Petro",213.36,81,6.2,4.1,0.6,-7.8,"2006-07"
"DerMarr Johnson",205.74,39,3.5,1.5,0.4,-6.1,"2006-07"
"Raja Bell",195.58,78,14.7,3.2,2.5,9.1,"2006-07"
"Rafer Alston",187.96,82,13.3,3.4,5.4,8.9,"2006-07"
"Rafael Araujo",210.82,28,2.6,2.4,0.4,10.2,"2006-07"
"Raef LaFrentz",210.82,27,3.7,2.6,0.3,-17.2,"2006-07"
"Quinton Ross",198.12,81,5.2,2.3,1.1,-1.2,"2006-07"
