"player_name","player_height","gp","pts","reb","ast","net_rating","season"
"Jimmer Fredette",187.96,61,7.6,1.2,1.8,-9.1,"2011-12"
"AJ Price",187.96,44,3.9,1.4,2,0.5,"2011-12"
"Jimmy Butler",200.66,42,2.6,1.3,0.3,18.8,"2011-12"
"Joakim Noah",210.82,64,10.2,9.8,2.5,7.5,"2011-12"
"Jodie Meeks",193.04,66,8.4,2.4,0.8,5.8,"2011-12"
"Joe Johnson",200.66,60,18.8,3.7,3.9,5.9,"2011-12"
"Joel Anthony",205.74,64,3.4,3.9,0.1,10.9,"2011-12"
"Joel Przybilla",215.9,27,2,5.1,0.2,-4,"2011-12"
"Johan Petro",213.36,59,4.2,3.8,0.8,-8.7,"2011-12"
"John Lucas III",180.34,49,7.5,1.6,2.2,17.7,"2011-12"
"John Salmons",198.12,46,7.5,2.9,2,-8.1,"2011-12"
"John Wall",193.04,66,16.3,4.5,8,-6.8,"2011-12"
"Jon Brockman",200.66,35,1.1,2.1,0.3,-0.3,"2011-12"
"Jon Leuer",208.28,46,4.7,2.6,0.5,0.2,"2011-12"
"Jonas Jerebko",208.28,64,8.7,4.8,0.7,-6,"2011-12"
"Jonny Flynn",182.88,29,4.5,1.3,3.3,-12.4,"2011-12"
"Jerryd Bayless",190.5,31,11.4,2.1,3.8,-2.3,"2011-12"
"Jerry Stackhouse",198.12,30,3.6,0.8,0.5,-0.9,"2011-12"
"Jerry Smith",187.96,5,1.4,1.4,0.8,-10.8,"2011-12"
"Jerome Jordan",213.36,21,2,1.3,0.2,11.8,"2011-12"
"Dahntay Jones",198.12,65,5.3,1.8,1,-4,"2011-12"
"Daequan Cook",195.58,57,5.5,2.1,0.3,6.4,"2011-12"
"DaJuan Summers",203.2,15,4.5,1.5,0.7,-8.3,"2011-12"
"DJ White",205.74,58,6.8,3.6,0.8,-16.1,"2011-12"
"D.J. Kennedy",195.58,2,6,3.5,1.5,-32.7,"2011-12"
"D.J. Augustin",182.88,48,11.1,2.3,6.4,-14.9,"2011-12"
"Craig Smith",200.66,47,3.3,2.3,0.4,-9.7,"2011-12"
"Craig Brackins",208.28,14,1.6,1.1,0.6,-32.3,"2011-12"
"Courtney Lee",195.58,58,11.4,2.7,1.5,1.4,"2011-12"
"Courtney Fortson",180.34,10,3.5,1.5,1,-22.6,"2011-12"
"Cory Joseph",190.5,29,2,0.9,1.2,-9.2,"2011-12"
"Cory Higgins",195.58,38,3.9,0.9,0.9,-15.1,"2011-12"
"Corey Maggette",198.12,32,15,3.9,1.2,-15.7,"2011-12"
"Corey Brewer",205.74,59,8.9,2.5,1.5,1.7,"2011-12"
"Jason Richardson",198.12,54,11.6,3.6,2,2.6,"2011-12"
"Jason Smith",213.36,40,9.9,4.9,0.9,-0.4,"2011-12"
"Jason Terry",187.96,63,15.1,2.4,3.6,0.5,"2011-12"
"Jason Thompson",210.82,64,9.1,6.9,1.2,-3.7,"2011-12"
"Jeff Adrien",201,8,2.6,2.8,0.1,-9.3,"2011-12"
"Jeff Ayres",205.74,20,1.7,1.7,0.2,-0.8,"2011-12"
"Jeff Foote",213.36,4,1,1.5,0,0.6,"2011-12"
"Jeff Foster",210.82,11,2.3,3.8,0.4,7.1,"2011-12"
"Jeff Teague",187.96,66,12.6,2.4,4.9,5.4,"2011-12"
"Jeremy Evans",205.74,29,2.1,1.7,0.4,-9.7,"2011-12"
"Jeremy Lin",190.5,35,14.6,3.1,6.2,6.1,"2011-12"
"Jeremy Pargo",187.96,44,2.9,0.8,1.3,-15.7,"2011-12"
"Jeremy Tyler",208.28,42,4.9,3.3,0.4,-9.9,"2011-12"
"Jermaine O'Neal",210.82,25,5,5.4,0.4,2,"2011-12"
"Jerome Dyson",190.5,9,7.4,2.1,2,3.3,"2011-12"
"Jordan Crawford",193.04,64,14.7,2.6,3,-9.1,"2011-12"
"Damien Wilkins",198.12,60,3.2,1.7,0.7,-2.4,"2011-12"
"Jordan Farmar",187.96,39,10.4,1.6,3.3,-10.3,"2011-12"
"Jordan Hill",208.28,39,5,4.8,0.4,-2.4,"2011-12"
"Kwame Brown",210.82,9,6.3,6.3,0.4,-6.1,"2011-12"
"Kyle Korver",200.66,65,8.1,2.4,1.7,10.2,"2011-12"
"Kyle Lowry",182.88,47,14.3,4.5,6.6,1.8,"2011-12"
"Kyrie Irving",190.5,51,18.5,3.7,5.4,-5.6,"2011-12"
"Kyrylo Fesenko",215.9,3,2.7,3,0.3,19.5,"2011-12"
"LaMarcus Aldridge",210.82,55,21.7,8,2.4,4.1,"2011-12"
"Lamar Odom",208.28,50,6.6,4.2,1.7,-4,"2011-12"
"Lance Stephenson",195.58,42,2.5,1.3,1.1,-4.2,"2011-12"
"Lance Thomas",203.2,42,4,3,0.3,-6.9,"2011-12"
