"player_name","player_height","gp","pts","reb","ast","net_rating","season"
"Metta World Peace",200.66,25,2.3,0.8,0.4,-17.7,"2016-17"
"Matthew Dellavedova",193.04,76,7.6,1.9,4.7,-1.1,"2016-17"
"Maurice Harkless",205.74,77,10,4.4,1.1,3.4,"2016-17"
"Maurice Ndour",205.74,32,3.1,2,0.3,-1.4,"2016-17"
"Meyers Leonard",215.9,74,5.4,3.2,1,-2.6,"2016-17"
"Marc Gasol",215.9,74,19.5,6.3,4.6,1.4,"2016-17"
"Michael Carter-Williams",198.12,45,6.6,3.4,2.5,-0.8,"2016-17"
"Michael Gbinije",200.66,9,0.4,0.3,0.2,-1.8,"2016-17"
"Michael Kidd-Gilchrist",200.66,81,9.2,7,1.4,1.6,"2016-17"
"Mike Conley",185.42,69,20.5,3.5,6.3,3.1,"2016-17"
"Mike Dunleavy",205.74,53,5.2,2.2,0.9,-4.3,"2016-17"
"Michael Beasley",208.28,56,9.4,3.4,0.9,-1.6,"2016-17"
"Matt Barnes",200.66,74,7.1,5.2,2.6,-2.5,"2016-17"
"Marcelo Huertas",190.5,23,2.7,1,2.3,-12.3,"2016-17"
"Marvin Williams",205.74,76,11.2,6.6,1.4,-0.5,"2016-17"
"Marshall Plumlee",213.36,21,1.9,2.4,0.5,-1.9,"2016-17"
"Marreese Speights",208.28,82,8.7,4.5,0.8,-2.4,"2016-17"
"Marquese Chriss",208.28,82,9.2,4.2,0.7,-10.8,"2016-17"
"Markieff Morris",208.28,76,14,6.5,1.7,3.9,"2016-17"
"Mario Hezonja",203.2,65,4.9,2.2,1,-15.1,"2016-17"
"Marcus Thornton",193.04,33,6.6,2.3,1.2,-12.7,"2016-17"
"Marcus Smart",193.04,79,10.6,3.9,4.6,2.5,"2016-17"
"Marcus Morris",205.74,79,14,4.6,2,-2.8,"2016-17"
"Marcus Georges-Hunt",198.12,5,2.8,1.8,0.6,-25,"2016-17"
"Marco Belinelli",195.58,74,10.5,2.4,2,-0.1,"2016-17"
"Marcin Gortat",210.82,82,10.8,10.4,1.5,2.8,"2016-17"
"Mike Miller",203.2,20,1.4,1.9,1.1,-3.3,"2016-17"
"Mason Plumlee",210.82,81,10.4,7.5,3.5,0,"2016-17"
"Mike Muscala",210.82,70,6.2,3.4,1.4,-3.1,"2016-17"
"Nicolas Batum",203.2,77,15.1,6.2,5.9,1.3,"2016-17"
"Mike Tobey",213.36,2,1,1.5,0.5,-27.3,"2016-17"
"PJ Tucker",198.12,81,6.7,5.8,1.2,-1.2,"2016-17"
"Otto Porter Jr.",203.2,80,13.4,6.4,1.5,3.1,"2016-17"
"Pascal Siakam",205.74,55,4.2,3.4,0.3,0,"2016-17"
"Omri Casspi",205.74,36,5.2,3.1,1,-8.4,"2016-17"
"Omer Asik",213.36,31,2.7,5.3,0.5,-4.9,"2016-17"
"Okaro White",203.2,35,2.8,2.3,0.6,8.6,"2016-17"
"Norris Cole",187.96,13,3.3,0.8,1.1,-6.4,"2016-17"
"Norman Powell",193.04,76,8.4,2.2,1.1,3.7,"2016-17"
"Noah Vonleh",205.74,74,4.4,5.2,0.4,-2,"2016-17"
"Nikola Vucevic",213.36,75,14.6,10.4,2.8,-3.6,"2016-17"
"Nikola Mirotic",208.28,70,10.6,5.5,1.1,4.7,"2016-17"
"Nikola Jokic",208.28,73,16.7,9.8,4.9,5.1,"2016-17"
"Mike Scott",203.2,18,2.5,2.1,0.9,-8.5,"2016-17"
"Nik Stauskas",198.12,80,9.5,2.8,2.4,-4.8,"2016-17"
"Nicolas Brussino",203.2,54,2.8,1.8,0.9,-10.8,"2016-17"
"Nick Young",200.66,60,13.2,2.3,1,-6.9,"2016-17"
"Nick Collison",208.28,20,1.7,1.6,0.6,-17.2,"2016-17"
"Nerlens Noel",210.82,51,8.7,5.8,1,-2.6,"2016-17"
"Nene",210.82,67,9.1,4.2,1,6.6,"2016-17"
"Nemanja Bjelica",208.28,65,6.2,3.8,1.2,1.3,"2016-17"
"Myles Turner",210.82,81,14.5,7.3,1.3,3.2,"2016-17"
"Montrezl Harrell",203.2,58,9.1,3.8,1.1,3.5,"2016-17"
"Monta Ellis",190.5,74,8.5,2.8,3.2,-0.5,"2016-17"
"Mirza Teletovic",205.74,70,6.4,2.3,0.7,3.4,"2016-17"
"Mindaugas Kuzminskas",205.74,68,6.3,1.9,1,-1.2,"2016-17"
"Miles Plumlee",210.82,45,2.5,2.1,0.5,-5.9,"2016-17"
