"player_name","player_height","gp","pts","reb","ast","net_rating","season"
"Sam Young",198.12,80,7.4,2.5,0.7,-9.2,"2009-10"
"Russell Westbrook",190.5,82,16.1,4.9,8,5,"2009-10"
"Ryan Gomes",200.66,76,10.9,4.6,1.6,-10,"2009-10"
"Ryan Bowen",205.74,1,4,2,0,69.2,"2009-10"
"Ryan Anderson",208.28,63,7.7,3.2,0.6,10.4,"2009-10"
"Ryan Hollins",213.36,73,6.1,2.8,0.7,-16.8,"2009-10"
"Rudy Gay",203.2,80,19.6,5.9,1.9,-1.1,"2009-10"
"Roko Ukic",195.58,13,3.1,0.2,0.9,5.1,"2009-10"
"Royal Ivey",193.04,44,2.1,0.8,0.6,0.7,"2009-10"
"Roy Hibbert",218.44,81,11.7,5.7,2,0.5,"2009-10"
"Ronny Turiaf",208.28,42,4.9,4.5,2.1,-0.9,"2009-10"
"Ronnie Price",187.96,60,4.3,1.2,2.1,1.7,"2009-10"
"Ronnie Brewer",200.66,58,8.8,3.2,2.7,2.3,"2009-10"
"Roger Mason Jr.",195.58,79,6.3,2.1,1.7,1.6,"2009-10"
"Rodrigue Beaubois",182.88,56,7.1,1.4,1.3,5.3,"2009-10"
"Samuel Dalembert",210.82,82,8.1,9.6,0.8,-4.2,"2009-10"
"Rudy Fernandez",198.12,62,8.1,2.6,2,1,"2009-10"
"Sasha Pavlovic",200.66,71,3.7,1.6,0.8,-15.5,"2009-10"
"Brandon Bass",203.2,50,5.8,2.5,0.4,6,"2009-10"
"Sean Marks",208.28,14,0.7,1.6,0.1,-1.3,"2009-10"
"Bobby Brown",187.96,45,4.8,0.8,2,-8.7,"2009-10"
"Bobby Simmons",198.12,23,5.3,2.7,0.7,-7.8,"2009-10"
"Boris Diaw",203.2,82,11.3,5.2,4,2.3,"2009-10"
"Brad Miller",213.36,82,8.8,4.9,1.9,-1.8,"2009-10"
"Rodney Stuckey",195.58,73,16.6,3.8,4.8,-3.8,"2009-10"
"Brandon Jennings",185.42,82,15.5,3.4,5.7,1.8,"2009-10"
"Brandon Roy",198.12,65,21.5,4.4,4.7,6,"2009-10"
"Brandon Rush",198.12,82,9.4,4.2,1.4,-3.7,"2009-10"
"Brendan Haywood",213.36,77,9.1,9.3,0.6,1.2,"2009-10"
"Brian Cardinal",203.2,29,1.7,1,0.8,-10.3,"2009-10"
"Brian Cook",205.74,14,1.5,0.6,0.1,-33.6,"2009-10"
"Brian Scalabrine",205.74,52,1.5,0.9,0.5,-6.8,"2009-10"
"Brian Skinner",205.74,16,1.6,1.7,0,-13.6,"2009-10"
"Brook Lopez",213.36,82,18.8,8.6,2.3,-10.4,"2009-10"
"Sebastian Telfair",182.88,43,4.8,1,2.9,-7.3,"2009-10"
"Sean Williams",208.28,20,2.6,2.3,0.1,-3.8,"2009-10"
"Sean May",205.74,37,3.3,1.9,0.5,-0.6,"2009-10"
"Sasha Vujacic",200.66,67,2.8,1.2,0.6,-2.8,"2009-10"
"Rodney Carney",200.66,68,4.7,2,0.5,-4.5,"2009-10"
"Nick Young",198.12,74,8.6,1.4,0.6,-1.9,"2009-10"
"Ricky Davis",200.66,36,4.4,1.6,1.1,-10.6,"2009-10"
"Patty Mills",182.88,10,2.6,0.2,0.5,-26.6,"2009-10"
"Pau Gasol",213.36,65,18.3,11.3,3.4,6.2,"2009-10"
"Paul Davis",210.82,2,2.5,0,1.5,13.6,"2009-10"
"Paul Millsap",203.2,82,11.6,6.8,1.6,6.6,"2009-10"
"Paul Pierce",200.66,71,18.3,4.4,3.1,5.3,"2009-10"
"Peja Stojakovic",208.28,62,12.6,3.7,1.5,-1.5,"2009-10"
"Pops Mensah-Bonsu",205.74,20,2,1.8,0.2,-18.3,"2009-10"
"Primoz Brezec",215.9,21,0.9,1.2,0,-5.9,"2009-10"
"Quentin Richardson",198.12,76,8.9,4.9,1.2,6.3,"2009-10"
"Quinton Ross",198.12,52,1.8,0.9,0.2,-3.7,"2009-10"
"Rafer Alston",187.96,52,8.2,2.5,3.4,-4.7,"2009-10"
"Raja Bell",195.58,6,11.8,3.8,2.2,7.6,"2009-10"
"Rajon Rondo",185.42,81,13.7,4.4,9.8,4.8,"2009-10"
"Ramon Sessions",190.5,82,8.2,2.6,3.1,-7.4,"2009-10"
"Randolph Morris",210.82,28,2.2,1.4,0.1,-8,"2009-10"
"Randy Foye",193.04,70,10.1,1.9,3.3,-8.2,"2009-10"
"Beno Udrih",190.5,79,12.9,2.8,4.7,-5.1,"2009-10"
"Patrick O'Bryant",213.36,11,1.7,1,0.1,-17.2,"2009-10"
"Robin Lopez",213.36,51,8.4,4.9,0.1,4.9,"2009-10"
