"player_name","player_height","gp","pts","reb","ast","net_rating","season"
"Jamaal Magloire",210.82,82,9.2,9.5,0.7,-2.4,"2005-06"
"Jalen Rose",203.2,72,12.3,2.9,2.5,-7.1,"2005-06"
"Jake Voskuhl",210.82,51,5.3,3.6,0.8,-2.3,"2005-06"
"Jake Tsakalidis",218.44,51,5,4.2,0.3,9.7,"2005-06"
"Jacque Vaughn",185.42,80,3.4,1.1,1.5,-6.1,"2005-06"
"Jackson Vroman",208.28,41,1.8,2.1,0.3,2,"2005-06"
"Jackie Butler",208.28,55,5.3,3.3,0.5,6.7,"2005-06"
"JR Smith",198.12,55,7.7,2,1.1,-7.9,"2005-06"
"Ira Newble",200.66,36,1.3,1.6,0.3,3.4,"2005-06"
"Ime Udoka",195.58,8,2.8,2.1,0.8,-4.2,"2005-06"
"Ronald Dupree",200.66,36,2.2,1.4,0.4,-12.9,"2005-06"
"Ike Diogu",203.2,69,7,3.3,0.4,-3.7,"2005-06"
"Jason Richardson",198.12,75,23.2,5.8,3.1,0.9,"2005-06"
"Jason Terry",187.96,80,17.1,2,3.8,8.7,"2005-06"
"Jason Williams",185.42,59,12.3,2.4,4.9,6,"2005-06"
"Jeff Foster",210.82,63,5.9,9.1,0.8,2.6,"2005-06"
"Voshon Lenard",193.04,26,7.3,1.8,1.6,-6.1,"2005-06"
"Wally Szczerbiak",200.66,72,19,4.3,3,0.1,"2005-06"
"Walter McCarty",208.28,36,2.4,1.9,0.6,0,"2005-06"
"Wayne Simien",205.74,43,3.4,2,0.2,-3.6,"2005-06"
"Will Bynum",182.88,15,3.6,0.8,1.3,-17.9,"2005-06"
"Willie Green",187.96,10,7,1.5,0.5,-9.3,"2005-06"
"Yao Ming",228.6,57,22.3,10.2,1.5,1.4,"2005-06"
"Yaroslav Korolev",205.74,24,1.1,0.5,0.4,-5.6,"2005-06"
"Zach Randolph",205.74,74,18,8,1.9,-11.7,"2005-06"
"Zarko Cabarkapa",210.82,61,3.3,1.8,0.3,-11.5,"2005-06"
"Zaza Pachulia",210.82,78,11.7,7.9,1.7,-4,"2005-06"
"Zeljko Rebraca",213.36,29,4.7,2.2,0.3,-14.3,"2005-06"
"Zendon Hamilton",210.82,12,2.2,0.9,0,-20.2,"2005-06"
