"player_name","player_height","gp","pts","reb","ast","net_rating","season"
"Michael Smith",203.2,46,6.3,7.2,1.2,-6,"1999-00"
"Michael Finley",200.66,82,22.6,6.3,5.3,0,"1999-00"
"Michael Stewart",208.28,42,1.4,2.2,0.1,-7.5,"1999-00"
"Michael Ruffin",205.74,71,2.2,3.5,0.6,-8.1,"1999-00"
"Michael Olowokandi",213.36,80,9.8,8.2,0.5,-14.1,"1999-00"
"Michael Hawkins",182.88,12,0.7,0.6,1.1,9.6,"1999-00"
"Maurice Taylor",205.74,62,17.1,6.5,1.6,-13.4,"1999-00"
"Metta World Peace",198.12,72,12,4.3,2.7,-8.6,"1999-00"
"Michael Dickerson",195.58,82,18.2,3.4,2.5,-6.1,"1999-00"
"Michael Curry",195.58,82,6.2,1.3,1.1,-0.7,"1999-00"
"Michael Cage",205.74,20,1.4,4.1,0.5,-4.2,"1999-00"
"Mike Bibby",187.96,82,14.5,3.7,8.1,-6.4,"1999-00"
"Matt Maloney",190.5,51,6.4,1.3,2.7,-4.4,"1999-00"
"Michael Doleac",210.82,81,7,4.1,0.8,1.2,"1999-00"
"Mikki Moore",213.36,29,7.9,3.9,0.6,14.4,"1999-00"
"Othella Harrington",205.74,82,13.1,6.9,1.2,-7.5,"1999-00"
"Mirsad Turkcan",205.74,17,1.9,1.9,0.3,-23.8,"1999-00"
"Jeff Hornacek",193.04,77,12.4,2.4,2.6,7.3,"1999-00"
"Matt Harpring",200.66,4,4,3,2,0.3,"1999-00"
"P.J. Brown",210.82,80,9.6,7.5,1.8,9.3,"1999-00"
"Otis Thorpe",208.28,51,5.5,3.3,0.6,-3.3,"1999-00"
"Oliver Miller",205.74,51,6.3,5.1,1.3,6,"1999-00"
"Olden Polynice",213.36,82,5.3,5.5,0.5,4.3,"1999-00"
"Obinna Ekezie",205.74,39,3.2,2.4,0.2,-2.6,"1999-00"
"Nick Van Exel",185.42,79,16.1,3.9,9,-0.9,"1999-00"
"Nick Anderson",198.12,72,10.8,4.7,1.7,-0.1,"1999-00"
"Nazr Mohammed",208.28,28,1.9,1.8,0.1,-7.6,"1999-00"
"Muggsy Bogues",160.02,80,5.1,1.7,3.7,0.4,"1999-00"
"Mookie Blaylock",185.42,73,11.3,3.7,6.7,-9.9,"1999-00"
"Moochie Norris",185.42,30,6.9,2.3,3.1,7.4,"1999-00"
"Monty Williams",203.2,75,8.7,3.3,1.4,-3.9,"1999-00"
"Mitch Richmond",195.58,74,17.4,2.9,2.5,-2.4,"1999-00"
"Milt Palacio",190.5,53,2,1,0.9,-4.4,"1999-00"
"Matt Geiger",215.9,65,9.7,6,0.6,-2,"1999-00"
"Mario Bennett",198.12,1,0,2,0,32.7,"1999-00"
"Marty Conlon",208.28,3,0.7,0.7,0,-29.7,"1999-00"
"Johnny Newman",200.66,82,10,1.9,0.8,0.2,"1999-00"
"Johnny Taylor",205.74,6,1.8,1,0.2,16.5,"1999-00"
"Jon Barry",195.58,62,8,2.6,2.4,6.9,"1999-00"
"Jonathan Bender",210.82,24,2.7,0.9,0.1,-0.3,"1999-00"
"Jud Buechler",198.12,58,2.2,1.6,0.6,2.6,"1999-00"
"Jumaine Jones",203.2,33,1.7,1.2,0.2,1.2,"1999-00"
"John Wallace",205.74,60,6.5,2.3,0.4,-6,"1999-00"
"Juwan Howard",205.74,82,14.9,5.7,3,-4.3,"1999-00"
"Keith Closs",220.98,57,4.2,3.1,0.4,-11.4,"1999-00"
"Keith Van Horn",208.28,80,19.2,8.5,2,-4.5,"1999-00"
"Kelvin Cato",210.82,65,8.7,6,0.4,0.2,"1999-00"
"Kendall Gill",195.58,76,13.1,3.7,2.8,-1.5,"1999-00"
"Kenny Anderson",185.42,82,14,2.7,5.1,1.4,"1999-00"
"Kenny Thomas",203.2,72,8.3,6.1,1.6,0.9,"1999-00"
"Karl Malone",205.74,82,25.5,9.5,3.7,7.8,"1999-00"
"John Thomas",205.74,55,2.1,1.4,0.2,-4.4,"1999-00"
"John Stockton",185.42,82,12.1,2.6,8.6,10,"1999-00"
"John Starks",190.5,37,13.9,2.7,4.9,-3.7,"1999-00"
"Jeff McInnis",193.04,25,7.2,2.9,3.6,-15,"1999-00"
"Jelani McCoy",208.28,58,4.3,3.1,0.4,0.3,"1999-00"
"Jermaine O'Neal",210.82,70,3.9,3.3,0.3,2.9,"1999-00"
"Jerome Kersey",200.66,72,4.5,3.1,1,6.4,"1999-00"
"Jerome Williams",205.74,82,8.4,9.6,0.8,4,"1999-00"
"Jerry Stackhouse",198.12,82,23.6,3.8,4.5,0,"1999-00"
"Jim Jackson",198.12,79,16.7,5,2.9,-5.5,"1999-00"
"Jim McIlvaine",215.9,66,2.4,3.5,0.5,-0.5,"1999-00"
"Joe Kleine",210.82,7,1.6,0.9,0.3,23.7,"1999-00"
"Joe Smith",208.28,78,9.9,6.2,1.1,3,"1999-00"
"Joe Stephens",200.66,13,3.2,2.8,0.8,7.1,"1999-00"
"John Amaechi",208.28,80,10.5,3.3,1.2,0.8,"1999-00"
"John Celestand",193.04,16,2.3,0.7,1.3,-3.1,"1999-00"
"John Crotty",187.96,69,4.7,1.1,1.9,4.6,"1999-00"
"John Salley",210.82,45,1.6,1.4,0.6,0.7,"1999-00"
"Keon Clark",210.82,81,8.6,6.2,0.9,-0.8,"1999-00"
"Matt Bullard",208.28,56,6.8,2.5,1.1,-2.5,"1999-00"
"Kevin Garnett",210.82,81,22.9,11.8,5,5.7,"1999-00"
"Kevin Ollie",193.04,40,1.8,0.8,1.2,0.9,"1999-00"
"Loy Vaught",205.74,43,1.7,2.1,0.3,-1.5,"1999-00"
"Luc Longley",218.44,72,6.3,4.5,1.1,0.5,"1999-00"
"Lucious Harris",195.58,77,6.7,2.4,1.3,-0.3,"1999-00"
"Malik Rose",200.66,74,6.7,4.5,0.6,4.1,"1999-00"
"Malik Sealy",203.2,82,11.3,4.3,2.4,8.3,"1999-00"
"Marcus Brown",190.5,6,1.7,1.2,0.5,-36.1,"1999-00"
"Lorenzo Williams",205.74,8,1.8,3.1,0.1,-10.4,"1999-00"
"Marcus Camby",210.82,59,10.2,7.8,0.8,4.8,"1999-00"
"Mark Bryant",205.74,75,5.7,4.7,0.8,-3.1,"1999-00"
"Mark Davis",200.66,23,6.2,3.7,1.7,-4.8,"1999-00"
"Mark Hendrickson",205.74,15,0.9,0.9,0.4,-18.7,"1999-00"
"Mark Jackson",190.5,81,8.1,3.7,8,3,"1999-00"
"Mark Strickland",208.28,58,4.9,2.4,0.4,-5.2,"1999-00"
"Mark West",208.28,22,0.7,1.4,0.1,-4.1,"1999-00"
"Mario Elie",195.58,79,7.5,3.2,2.4,6.6,"1999-00"
"Lorenzen Wright",210.82,75,6,4.1,0.3,-9,"1999-00"
"Lindsey Hunter",187.96,82,12.7,3,4,1.9,"1999-00"
"Lazaro Borrell",203.2,17,3.6,2.4,0.6,9.7,"1999-00"
"Kevin Willis",213.36,79,7.6,6.1,0.6,-2.1,"1999-00"
"Khalid Reeves",190.5,3,3.7,1.3,4.3,14.9,"1999-00"
"Kiwane Garris",187.96,3,1.3,0.3,0.7,14,"1999-00"
"Kobe Bryant",200.66,66,22.5,6.3,4.9,10.4,"1999-00"
"Kornel David",205.74,32,5.6,2.5,0.5,-15.3,"1999-00"
"Kurt Thomas",205.74,80,8,6.3,1,2.9,"1999-00"
"LaPhonso Ellis",203.2,58,8.4,5,1,-6.4,"1999-00"
"Lamar Odom",208.28,76,16.6,7.8,4.2,-8.2,"1999-00"
"Lamond Murray",200.66,74,15.9,5.7,1.8,-3.7,"1999-00"
"Lari Ketner",208.28,22,1.5,1.5,0,-27.2,"1999-00"
"Laron Profit",195.58,33,1.5,0.8,0.8,-1.5,"1999-00"
"Larry Hughes",195.58,82,15,4.3,2.5,-8.6,"1999-00"
"Larry Johnson",200.66,70,10.7,5.4,2.5,2,"1999-00"
"Latrell Sprewell",195.58,82,18.6,4.3,4,2.9,"1999-00"
"Lawrence Funderburke",205.74,75,6.4,3.1,0.4,3.5,"1999-00"
"Kevin Johnson",185.42,6,6.7,2.7,4,21.3,"1999-00"
"Kerry Kittles",195.58,62,13,3.6,2.3,1,"1999-00"
"Jermaine Jackson",195.58,7,1,1.6,0.6,3.6,"1999-00"
"Patrick Ewing",213.36,62,15,9.7,0.9,2.9,"1999-00"
"Tony Battie",210.82,82,6.6,5,0.8,-0.3,"1999-00"
"Toni Kukoc",210.82,56,14.8,4.9,4.7,0,"1999-00"
"Tom Hammonds",205.74,56,2.1,1.8,0.2,-14.5,"1999-00"
"Todd MacCulloch",213.36,56,3.7,2.6,0.2,0,"1999-00"
"Todd Fuller",210.82,41,3.3,2.7,0.1,-1.9,"1999-00"
"Todd Day",198.12,58,6.8,2.2,1.1,9.5,"1999-00"
"Toby Bailey",198.12,46,3.5,1.6,0.7,3.5,"1999-00"
"Tim Young",218.44,25,2.2,1.4,0.2,-4.6,"1999-00"
"Tim Thomas",208.28,80,11.8,4.2,1.4,-3.8,"1999-00"
"Tim Legler",193.04,23,3.3,1,1,-16.6,"1999-00"
"Tim James",200.66,4,2.8,1,0.5,38.9,"1999-00"
"Tim Hardaway",182.88,52,13.4,2.9,7.4,7.4,"1999-00"
"Tim Duncan",213.36,74,23.2,12.4,3.2,9.5,"1999-00"
"Thomas Hamilton",218.44,22,3.7,4.1,0.7,-8,"1999-00"
"Theo Ratliff",208.28,57,11.9,7.6,0.6,3.3,"1999-00"
"Terry Porter",190.5,68,9.4,2.8,3.3,13,"1999-00"
"Terry Mills",208.28,82,6.7,4.8,1,-0.1,"1999-00"
"Terry Cummings",205.74,22,8.4,4.9,1,-7.6,"1999-00"
"Terrell Brandon",180.34,71,17.1,3.4,8.9,6.9,"1999-00"
"Tariq Abdul-Wahad",198.12,61,11.4,4.8,1.6,-1.6,"1999-00"
"Steven Smith",203.2,82,14.9,3.8,2.5,9.1,"1999-00"
"Steve Nash",190.5,56,8.6,2.2,4.9,3.9,"1999-00"
"Steve Kerr",190.5,32,2.8,0.6,0.4,0.8,"1999-00"
"Steve Francis",190.5,77,18,5.3,6.6,-3.7,"1999-00"
"Stephon Marbury",187.96,74,22.2,3.2,8.4,0,"1999-00"
"Stanley Roberts",213.36,5,2,3,0.6,-16.3,"1999-00"
"Stacey Augmon",203.2,59,3.4,2,0.9,-3.6,"1999-00"
"Tony Delk",187.96,46,6.4,1.9,1.2,12,"1999-00"
"Sherman Douglas",185.42,20,6,1.5,1.7,-11.5,"1999-00"
"Tony Farmer",205.74,74,6.3,4,1,-4.6,"1999-00"
"Tracy McGrady",203.2,79,15.4,6.3,3.3,0.4,"1999-00"
"Jeff Foster",210.82,19,2.3,1.7,0.3,-6.3,"1999-00"
"Zan Tabak",213.36,18,2.1,1.8,0.2,4.2,"1999-00"
"William Avery",187.96,59,2.6,0.7,1.5,-11.2,"1999-00"
"Will Perdue",213.36,67,2.5,3.9,0.9,-12.8,"1999-00"
"Wesley Person",198.12,79,9.2,3.4,1.8,-2.1,"1999-00"
"Wayne Turner",187.96,3,1.3,1,1.7,-1.2,"1999-00"
"Walter McCarty",208.28,61,3.8,1.8,1.1,-4.6,"1999-00"
"Walt Williams",203.2,76,10.9,4,2.1,1.6,"1999-00"
"Wally Szczerbiak",200.66,73,11.6,3.7,2.8,5,"1999-00"
"Voshon Lenard",193.04,53,11.9,2.9,2.6,4.3,"1999-00"
"Vonteego Cummings",190.5,75,9.4,2.5,3.3,-7.6,"1999-00"
"Vladimir Stepania",213.36,30,2.5,1.6,0.1,-10.9,"1999-00"
"Vlade Divac",215.9,82,12.3,8,3,2.5,"1999-00"
"Vitaly Potapenko",208.28,79,9.2,6.3,1,-0.4,"1999-00"
"Vinny Del Negro",193.04,67,5.2,1.6,2.4,-6.8,"1999-00"
"Vince Carter",200.66,82,25.7,5.8,3.9,3.6,"1999-00"
"Vin Baker",210.82,79,16.6,7.7,1.9,0.4,"1999-00"
"Vernon Maxwell",193.04,47,10.9,1.7,1.6,-3.7,"1999-00"
"Tyronn Lue",182.88,8,6,1.5,2.1,-10.3,"1999-00"
"Tyrone Nesby",198.12,73,13.3,3.8,1.7,-13.3,"1999-00"
"Tyrone Hill",205.74,68,12,9.2,0.8,1.5,"1999-00"
"Tyrone Corbin",198.12,54,4.1,3.1,1.1,0.6,"1999-00"
"Troy Hudson",185.42,62,8.8,2.4,3.9,-11.4,"1999-00"
"Travis Knight",213.36,63,1.7,2,0.4,3.7,"1999-00"
"Travis Best",180.34,82,8.9,1.7,3.3,8.6,"1999-00"
"Trajan Langdon",190.5,10,4.9,1.5,1.1,18.8,"1999-00"
"Tracy Murray",200.66,80,10.1,3.4,0.9,-3.5,"1999-00"
"Tony Massenburg",205.74,10,4.6,2.7,0.3,-3.4,"1999-00"
"Shawn Marion",200.66,51,10.2,6.5,1.4,5.5,"1999-00"
"Shawn Kemp",208.28,82,17.8,8.8,1.7,-2.3,"1999-00"
"Shawn Bradley",228.6,77,8.4,6.5,0.8,2.6,"1999-00"
"Robert Pack",187.96,29,8.9,1.4,5.8,-7.6,"1999-00"
"Robert Horry",208.28,76,5.7,4.8,1.6,12.3,"1999-00"
"Rik Smits",223.52,79,12.9,5.1,1.1,1,"1999-00"
"Ricky Davis",200.66,48,4.7,1.7,1.3,-6.7,"1999-00"
"Rick Hughes",205.74,21,3.9,2.3,0.4,2.2,"1999-00"
"Rick Fox",200.66,82,6.5,2.4,1.7,8.3,"1999-00"
"Rick Brunson",193.04,37,1.9,0.7,1.3,-9.3,"1999-00"
"Richard Hamilton",198.12,71,9,1.8,1.5,-3.9,"1999-00"
"Rex Walters",193.04,33,2.8,1.1,2,-0.8,"1999-00"
"Rex Chapman",193.04,53,6.6,1.5,1.2,-0.8,"1999-00"
"Reggie Miller",200.66,81,18.1,3,2.3,4.6,"1999-00"
"Reggie Jordan",193.04,36,1.1,1.1,0.9,4.7,"1999-00"
"Ray Allen",195.58,82,22.1,4.4,3.8,1.7,"1999-00"
"Rasho Nesterovic",213.36,82,5.7,4.6,1.1,5,"1999-00"
"Rasheed Wallace",210.82,81,16.4,7,1.8,9.5,"1999-00"
"Rashard Lewis",208.28,82,8.2,4.1,0.9,1.6,"1999-00"
"Randy Livingston",193.04,79,4.8,1.6,2.2,1.4,"1999-00"
"Randy Brown",187.96,59,6.4,2.4,3.4,-17.5,"1999-00"
"Randell Jackson",210.82,1,0,0,0,60.4,"1999-00"
"Rafer Alston",187.96,27,2.2,0.9,2.6,-14.5,"1999-00"
"Raef LaFrentz",210.82,81,12.4,7.9,1.2,-2.4,"1999-00"
"Quincy Lewis",200.66,74,3.8,1.5,0.5,-5.7,"1999-00"
"Popeye Jones",203.2,40,2.6,2.6,0.5,2.3,"1999-00"
"Pete Chilcutt",208.28,56,2.1,2.3,0.5,-13.7,"1999-00"
"Pervis Ellison",205.74,30,1.8,2.2,0.4,-21.5,"1999-00"
"Peja Stojakovic",205.74,74,11.9,3.7,1.4,3.3,"1999-00"
"Paul Pierce",200.66,73,19.5,5.4,3,3.5,"1999-00"
"Robert Traylor",203.2,44,3.6,2.6,0.5,-5.2,"1999-00"
"Rod Strickland",190.5,69,12.6,3.8,7.5,-6.2,"1999-00"
"Rodney Buford",195.58,34,4.3,1.4,0.6,-3.5,"1999-00"
"Rodney Rogers",200.66,82,13.8,5.5,2.1,9.6,"1999-00"
"Shareef Abdur-Rahim",205.74,82,20.3,10.1,3.3,-5.3,"1999-00"
"Shaquille O'Neal",215.9,79,29.7,13.6,3.8,11,"1999-00"
"Shandon Anderson",198.12,82,12.3,4.7,2.9,-2.3,"1999-00"
"Shammond Williams",185.42,43,5.2,1.2,1.8,-2.8,"1999-00"
"Sean Rooks",208.28,71,4.4,3.5,1,-3,"1999-00"
"Sean Marks",208.28,5,1.6,0.4,0,-21,"1999-00"
"Sean Elliott",203.2,19,6,2.5,1.5,10.6,"1999-00"
"Scottie Pippen",200.66,82,12.5,6.3,5,7.5,"1999-00"
"Scott Williams",208.28,68,7.6,6.6,0.4,0,"1999-00"
"Scott Padgett",205.74,47,2.6,1.9,0.5,-3.8,"1999-00"
"Scott Burrell",200.66,74,6.1,3.5,1,3.1,"1999-00"
"Scot Pollard",210.82,76,5.4,5.3,0.6,3.4,"1999-00"
"Samaki Walker",205.74,71,5.1,3.8,0.5,2.5,"1999-00"
"Pat Garrity",205.74,82,8.2,2.6,0.7,-1.7,"1999-00"
"Sam Perkins",205.74,81,6.6,3.6,0.8,9,"1999-00"
"Sam Mack",200.66,23,5,1.7,1,-9.7,"1999-00"
"Sam Jacobson",193.04,52,4.9,1.4,0.6,-8.8,"1999-00"
"Sam Cassell",190.5,81,18.6,3.7,9,2.4,"1999-00"
"Ryan Stack",210.82,25,2.1,1.8,0.2,-8.3,"1999-00"
"Ryan Robertson",195.58,1,5,0,0,-33.4,"1999-00"
"Ryan Bowen",200.66,52,2.5,2.2,0.4,-1.5,"1999-00"
"Rusty LaRue",190.5,4,9.3,2.5,2.8,-20.1,"1999-00"
"Ruben Patterson",198.12,81,11.6,5.4,1.6,1.9,"1999-00"
"Roy Rogers",208.28,40,2.2,2,0.2,-0.1,"1999-00"
"Roshown McLeod",203.2,44,7.2,3.1,1.2,-8.5,"1999-00"
"Ron Mercer",200.66,68,16.9,3.7,2.3,0.4,"1999-00"
"Ron Harper",198.12,80,7,4.2,3.4,7.6,"1999-00"
"Rodrick Rhodes",198.12,1,0,1,0,-91.2,"1999-00"
"Sam Mitchell",200.66,66,6.5,2.1,1.7,-2.6,"1999-00"
"Jason Williams",185.42,81,12.3,2.8,7.3,0.4,"1999-00"
"Tom Gugliotta",208.28,54,13.7,7.9,2.3,7.3,"1999-00"
"Jason Miskiri",187.96,1,0,0,1,-158.3,"1999-00"
"Charles Oakley",205.74,80,6.9,6.8,3.2,0.9,"1999-00"
"Charles Barkley",198.12,20,14.5,10.5,3.2,-2.4,"1999-00"
"Cedric Henderson",200.66,61,5.4,2.3,0.9,-6.3,"1999-00"
"Cedric Ceballos",200.66,69,16.6,6.7,1.3,-2.4,"1999-00"
"Carlos Rogers",210.82,53,8,5.2,0.8,-10.7,"1999-00"
"Calvin Booth",210.82,11,3.8,2.9,0.6,-2.7,"1999-00"
"Calbert Cheaney",200.66,67,4,2.1,1.2,-3.7,"1999-00"
"Cal Bowdler",208.28,46,2.7,1.8,0.3,-13,"1999-00"
"Bryon Russell",200.66,82,14.1,5.2,1.9,8.9,"1999-00"
"Bryce Drew",190.5,72,5.8,1.4,2.3,1.4,"1999-00"
"Bryant Stith",195.58,45,5.6,1.9,1.4,1.7,"1999-00"
"Bryant Reeves",213.36,69,8.9,5.7,1.2,-5.8,"1999-00"
"Bruno Sundov",218.44,14,1.9,0.9,0.1,-10.3,"1999-00"
"Bruce Bowen",200.66,69,2.8,1.4,0.5,3,"1999-00"
"Brian Skinner",205.74,33,5.4,6.1,0.3,-6.9,"1999-00"
